experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,run,,epochs,test_I_xz_toagg,train_I_xz_toagg,train_DIQ_yz_toagg,test_DIQ_yz_toagg,train_DIQ_xz_toagg,train_d_DIQ_xz_toagg,train_H_zCx_toagg,test_H_zCx_toagg,train_H_Q_yCz_toagg,test_H_Q_yCz_toagg,train_DIQ_xzCy_toagg,train_acc_toagg,test_acc_toagg,train_loss_toagg,test_loss_toagg,train_loglike_toagg,test_loglike_toagg,train_H_Q_xCz_toagg,train_d_H_Q_xCz_toagg,train_H_Q_xCzy_toagg,train_h_acc_toagg,train_h_delta_acc_toagg,train_z_norm_toagg,test_z_norm_toagg,train_z_mean_norm_toagg,test_z_mean_norm_toagg,train_z_std_toagg,test_z_std_toagg
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,0,1,default,1,transformer,best,,,3.321711540222168,-2.767049503326416,,0.01609235460107977,,,0.0002164709400279786,6.088977527618407,,1.0,0.4918,,,-0.0001500337280461761,-4.218594300008087,,12.221786282279275,,,0.009968562994877236,0.994503297589042,0.9765966534614564,0.24295192482796585,0.240818527340889,0.006888669576834549,0.0068872529082000256
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,0,1,default,2,transformer,best,,,3.3217107382687656,-2.862957763671875,,0.016114104877818714,,,0.00021732205310730603,6.184885787963867,,1.0,0.4889,,,-0.00015062315754869028,-4.285997137401084,,12.221780343489213,,,0.010278574347104328,1.0057071122256191,0.990464735031128,0.23552317985079504,0.2336985766887665,0.00687965092418546,0.0068777061998844145
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.001,0,1024,0,1,default,0,transformer,best,,,3.3218900940634986,-2.223354434967041,,0.1140060533176769,,,3.794661924158308e-05,5.545282459259033,,1.0,0.5164,,,-2.6295781893325752e-05,-3.8430457931329594,,12.123882900584828,,,0.04939185898423238,1.00428245826201,0.9870399594306946,0.3514555367556485,0.3486396372318268,0.0076745671474120845,0.007668406981974841
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.001,0,1024,0,1,default,1,transformer,best,,,3.3218581784855234,-1.9876209259033204,,0.1528645862232555,,,6.981923632503657e-05,5.309548950195311,,1.0,0.5204,,,-4.838855248549455e-05,-3.6772438272874672,,12.085014126517557,,,0.06470553289150921,0.9961359880187296,0.9789642691612244,0.3657254725694656,0.3628836512565613,0.007851599884981459,0.007846651226282121
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.001,0,1024,0,1,default,2,transformer,best,,,3.321809486909346,-1.9157937049865723,,0.2758464054627852,,,0.00011854555354644121,5.237721729278563,,1.0,0.5163,,,-8.215521770674235e-05,-3.6287824384070446,,11.962048097090287,,,0.0894637231454226,1.0046361847357317,0.986462140083313,0.3699654489755631,0.3667812526226044,0.00823035721921108,0.008216558396816254
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,0,1,default,0,transformer,best,,,3.3077652996236626,-1.931234073638916,,0.01207765665921298,,,0.014162692283703522,5.253162097930908,,1.0,0.4906,,,-0.009816645054477036,-3.6388757869671022,,12.225811221382834,,,0.007740478961299744,1.0007070980288766,0.993288779258728,1.2872001908042214,1.2910305738449095,0.009356800001114609,0.009375672787427902
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,0,1,default,1,transformer,best,,,3.3039569312875923,-2.157596969604492,,0.017490560358220882,,,0.017971109175546604,5.479524993896486,,0.9999777777777776,0.4912,,,-0.01245747631109825,-3.796398176232018,,12.220387848940762,,,0.011523343908303669,0.9918263229456816,0.9892765164375306,1.0248223651539197,1.0263164520263672,0.008801782080395655,0.008804613165557385
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,0,1,default,2,transformer,best,,,3.3083568052812056,-1.8598800659179688,,0.01179847934029319,,,0.013571213168854065,5.181808090209961,,1.0,0.494,,,-0.009407114202265485,-3.5908845607011446,,12.226095936515115,,,0.009671743615085342,0.9966951744122938,0.9884950637817382,1.1998996463688938,1.2046700716018677,0.008931230838325891,0.008944467082619667
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1000.0,0,1024,0,1,default,0,transformer,best,,,1.0680552395907317,1.0105484008789063,,0.001924883235584606,,,2.2538727847012607,2.311379623413086,,0.4696444444444444,0.4511,,,-1.5622860522899362,-1.601666332039982,,12.23596395145763,,,0.006134846559533589,0.9951325844634664,1.0092742443084717,10.329474145715887,10.530728721618653,1.5252157829024575,1.5624264955520633
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1000.0,0,1024,0,1,default,1,transformer,best,,,1.1209156188097866,1.0621542453765869,,0.0014372955669056285,,,2.2010124054822056,2.2597737789154047,,0.4743111111111111,0.4521,,,-1.5256277272335772,-1.5660179184366017,,12.236441135406494,,,0.004537303154378879,0.9989942501891744,1.025427222251892,9.717108509757304,9.96295166015625,1.6185604333877563,1.669775199890137
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1000.0,0,1024,0,1,default,2,transformer,best,,,1.0345008806748823,0.9882790088653564,,0.0017441619526256215,,,2.28742714361711,2.333649015426636,,0.4538444444444445,0.4429,,,-1.5855190168228417,-1.6173433536678552,,12.23615026473999,,,0.004777143018095108,0.9811024042693052,0.9948490381240844,11.029525930231268,11.24596118927002,2.3590208400379526,2.4163928985595704
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,0,1,default,0,transformer,best,,,3.3194039409810845,-2.966791343688965,,0.035742792216214264,,,0.002524076590568505,6.288719367980957,,1.0,0.484,,,-0.0017494926427315748,-4.357716322659458,,12.202146183360707,,,0.017831357389786414,1.0039465562863783,0.991579782962799,0.31624775583093817,0.3147795140743256,0.006830528505485167,0.00682923523709178
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,0,1,default,1,transformer,best,,,3.3192802342501557,-3.0983613967895507,,0.036475669253956185,,,0.002647787427783689,6.420289421081543,,1.0,0.4763,,,-0.0018352243040999554,-4.447120044338464,,12.201402794231068,,,0.017707571229520356,0.994093109260906,0.983320653438568,0.2980640625411814,0.29675209522247314,0.006860925646668131,0.006858473364263772
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,0,1,default,2,transformer,best,,,3.3193439570340244,-3.2319672584533685,,0.036570288918235085,,,0.002584089990705252,6.553895282745361,,1.0,0.4737,,,-0.0017911908368885355,-4.536970014460559,,12.201324116099965,,,0.016760334127704,1.0040712437846444,0.9902790904045105,0.29235732419924304,0.29061118960380555,0.006816806948997758,0.006815681885927916
