datasize,beta,run,epochs,train_loss_toagg,valid_loss_toagg,valid_acc_toagg,train_acc_toagg
e50,0.01,0,95,-0.6621256778066809,5.049619892120361,0.4862,0.9953777777777778
e50,0.01,0,96,-0.6620344988996333,5.012753233337403,0.4882,0.9953111111111111
e50,0.01,0,97,-0.6634541011116721,5.019194689941406,0.4906,0.9951777777777778
e50,0.01,0,98,-0.6666719879583879,4.9977182754516605,0.4916,0.9956222222222222
e50,0.01,0,99,-0.6648311767231334,5.027922626495362,0.4888,0.9958222222222223
e50,0.01,0,100,-0.6673941369576888,5.038664043426514,0.4868,0.9955555555555555
e50,0.01,0,101,-0.6673692375703292,5.0282800689697265,0.49,0.9956
e50,0.01,0,102,-0.6680079185399143,5.039414633178711,0.4884,0.9953777777777778
e50,0.01,0,103,-0.6698705625707453,5.047466439819336,0.4874,0.9955111111111111
e50,0.01,0,104,-0.6697399282368747,5.058553486633301,0.4866,0.9953555555555555
e50,0.01,0,105,-0.6729798397671093,5.08556212387085,0.4866,0.9957333333333334
e50,0.01,0,106,-0.6730087577126243,5.050809980773926,0.4888,0.9957111111111111
e50,0.01,0,107,-0.6755502785075794,5.088391542053222,0.4874,0.9951111111111111
e50,0.01,0,108,-0.6753254051902078,5.065026913452148,0.4878,0.9952222222222222
e50,0.01,0,109,-0.6744989357948303,5.079593911743164,0.489,0.9956888888888888
e50,0.01,0,110,-0.6751273166483098,5.0908873191833495,0.487,0.9954
e50,0.01,0,111,-0.6768037100965326,5.088527353668213,0.4856,0.9956666666666667
e50,0.01,0,112,-0.678236164933985,5.112428084564209,0.4864,0.9955333333333334
e50,0.01,0,113,-0.6792109006144784,5.084975988769531,0.4872,0.9953555555555555
e50,0.01,0,114,-0.6778929443099282,5.082866040802002,0.4874,0.9956888888888888
e50,0.01,0,115,-0.6798768358837475,5.109646599578857,0.4866,0.9959555555555556
e50,0.01,0,116,-0.6793607080459595,5.112188463592529,0.4872,0.9954444444444445
e50,0.01,0,117,-0.6796406769405712,5.091010334777832,0.488,0.9954
e50,0.01,0,118,-0.6794938772808422,5.098663870239258,0.4878,0.9953555555555555
e50,0.01,0,119,-0.6822275022593411,5.121543746948242,0.4878,0.9958
e50,0.01,0,120,-0.6823620450713418,5.118910050964355,0.487,0.9957777777777778
e50,0.01,0,121,-0.6824981401963668,5.124213822937012,0.4868,0.9957111111111111
e50,0.01,0,122,-0.6855517000198365,5.111704379272461,0.4868,0.9954222222222222
