experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,clf_nhid,clf_nlay,clf_kpru,gamma,epochs,run_count,test_accuracy_mean,test_accuracy_std,test_loglike_mean,test_loglike_std,train_accuracy_mean,train_accuracy_std,train_loglike_mean,train_loglike_std,train_sharp_mag_mean,train_sharp_mag_std,train_var_grad_mean,train_var_grad_std,train_path_norm_mean,train_path_norm_std,train_y_pred_ent_mean,train_y_pred_ent_std,train_d_H_Q_xCz_mean,train_d_H_Q_xCz_std,train_H_Q_xCz_further_mean,train_H_Q_xCz_further_std,train_H_Q_xCz_mean,train_H_Q_xCz_std,train_d_H_Q_xCz_nofreeze_mean,train_d_H_Q_xCz_nofreeze_std,train_d_H_Q_xCz_maxep_mean,train_d_H_Q_xCz_maxep_std,train_d_H_Q_xCz_minep_mean,train_d_H_Q_xCz_minep_std,train_H_Q_xCzy_mean,train_H_Q_xCzy_std,test_d_H_Q_xCz_test_mean,test_d_H_Q_xCz_test_std,train_d_H_Qm_xCz_mean,train_d_H_Qm_xCz_std,train_d_H_Qp_xCz_mean,train_d_H_Qp_xCz_std
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.0,cnnninw8d4,128,2,0,128,2,0,1,0,512,0,3,default,128,2,0,0,best,1,0.7018,,-2.1058337689782545,,0.9986666666666668,,-0.004571709588881617,,662778.024921878,,6.25219684025069e-07,,205.960933795708,,0.009727468714118004,,11.570232142101636,,,,14.815035429867832,,,,,,,,,,,,15.542866826057436,,1.515691961077127,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.0,cnnninw8d8,128,2,0,128,2,0,1,0,32,0,3,default,128,2,0,0,best,1,0.6552,,-2.1678639840379073,,0.9994,,-0.002428188660184632,,876523.9379591837,,8.456173077320274e-07,,498.4360383991109,,0.008402066305279732,,12.08578663522547,,,,15.370563572103329,,,,,,,,,,,,15.55945803902366,,14.66470980644226,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.0,cnnninw8d8,128,2,0,128,2,0,1,0,128,0,3,default,128,2,0,0,best,1,0.6615,,-1.932437526121864,,0.9991555555555556,,-0.003161676361420344,,795033.0503031146,,7.954357101880304e-07,,368.2306087901983,,0.011769832111895084,,12.199546434662556,,,,15.522461370988324,,,,,,,,,,,,15.556394414468244,,15.165287819775667,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.0,cnnninw8d8,128,2,0,128,2,0,1,0,512,0,3,default,128,2,0,0,best,1,0.6696,,-1.9477829294756424,,0.9975777777777778,,-0.00736463368375223,,763549.7415111111,,6.418859470613825e-07,,127.8905324144442,,0.014435491524636744,,12.222064863551747,,,,15.542824951085178,,,,,,,,,,,,15.557124950669026,,15.411722681739116,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.25,cnnninw2d2,128,2,0,128,2,0,1,0,32,0,3,default,128,2,0,0,best,1,0.705,,-1.1387005939337664,,0.9459555555555555,,-0.1576537015271723,,3827103.850300735,,0.00013748357741860673,,1684.445902960377,,0.30348899960517883,,11.891333905133335,,,,15.033585515889255,,,,,,,,,,,,15.55444113774733,,9.99652414972132,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.25,cnnninw2d2,128,2,0,128,2,0,1,0,128,0,3,default,128,2,0,0,best,1,0.7089,,-1.1906607923131796,,0.9560666666666666,,-0.12695087097528002,,3137302.626734843,,0.00012660239008255306,,1138.6459063290922,,0.2559793293476105,,12.019711927934127,,,,15.29489780556072,,,,,,,,,,,,15.554507407275114,,10.825240763750944,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.25,cnnninw2d2,128,2,0,128,2,0,1,0,512,0,3,default,128,2,0,0,best,1,0.7094,,-1.2604721585373089,,0.9537111111111112,,-0.13129260761820388,,3013879.949826762,,0.00011338941840222104,,659.5209672557803,,0.2196582406759262,,11.967013142325662,,,,15.226527896794407,,,,,,,,,,,,15.548292420127176,,10.60782160542228,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.25,cnnninw2d4,128,2,0,128,2,0,1,0,32,0,3,default,128,2,0,0,best,1,0.7566,,-0.9916074321138868,,0.9884,,-0.04404854952806928,,1500556.30919731,,3.7744190194644034e-05,,1805.1580955694712,,0.1273583024740219,,12.19190736250444,,,,15.498997991735285,,,,,,,,,,,,15.558390433138067,,15.387716575102372,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.25,cnnninw2d4,128,2,0,128,2,0,1,0,128,0,3,default,128,2,0,0,best,1,0.7646,,-0.9966802822173856,,0.9950444444444444,,-0.023381570097255982,,1173408.1814083736,,3.201927029294893e-05,,1260.2122837046145,,0.07823903858661653,,12.193631919947537,,,,15.508133151314475,,,,,,,,,,,,15.557202057404952,,15.22322072766044,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.25,cnnninw2d4,128,2,0,128,2,0,1,0,512,0,3,default,128,2,0,0,best,1,0.7715,,-1.0385187404356262,,0.9985555555555556,,-0.008917998709951176,,1001099.5387215199,,2.658242556208279e-05,,698.5804803313646,,0.03706768155097962,,12.192846048961986,,,,15.508711099624634,,,,,,,,,,,,15.554655346003445,,15.198152076114306,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.25,cnnninw2d8,128,2,0,128,2,0,1,0,32,0,3,default,128,2,0,0,best,1,0.7315,,-0.8850197271610024,,0.9158888888888888,,-0.2518143012349437,,1472896.8779149519,,2.373063762206584e-05,,2744.643692722245,,0.5198939442634583,,12.228621179407293,,,,15.548202157020569,,,,,,,,,,,,15.559136412360454,,15.54637598991394,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.25,cnnninw2d8,128,2,0,128,2,0,1,0,128,0,3,default,128,2,0,0,best,1,0.7369,,-0.8980219034314235,,0.9306444444444444,,-0.2059488769284006,,773833.1239133372,,2.5278746761614457e-05,,3003.8706696527397,,0.422895222902298,,12.229981043122029,,,,15.550031737847762,,,,,,,,,,,,15.557278513908384,,15.54676576094194,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.25,cnnninw2d8,128,2,0,128,2,0,1,0,512,0,3,default,128,2,0,0,best,1,0.7494,,-0.8642107634674708,,0.9475111111111112,,-0.16375561300463282,,1558264.7785941043,,2.3561162379337475e-05,,1408.4621933158166,,0.3467146456241608,,12.230393127961593,,,,15.550500284541734,,,,,,,,,,,,15.556851267814634,,15.545757911422037,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.25,cnnninw4d4,128,2,0,128,2,0,1,0,32,0,3,default,128,2,0,0,best,1,0.7867,,-1.526676410663438,,1.0,,-1.6351897402134657e-06,,608697.179138322,,4.376064680400305e-06,,1028.1975734264306,,2.498803223716095e-05,,12.185016415335916,,,,15.490149400450967,,,,,,,,,,,,15.559077848087654,,15.337508429180494,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.25,cnnninw4d4,128,2,0,128,2,0,1,0,128,0,3,default,128,2,0,0,best,1,0.7807,,-1.5413170990106495,,1.0,,-1.4805006786603928e-06,,542225.3877035727,,3.6482192626863252e-06,,585.9270965743092,,2.391441375948489e-05,,12.170378988439387,,,,15.487264178015971,,,,,,,,,,,,15.555996092883024,,15.045405875552785,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.25,cnnninw4d4,128,2,0,128,2,0,1,0,512,0,3,default,128,2,0,0,best,1,0.7863,,-1.5172254802265686,,0.9999777777777776,,-3.802051706333821e-05,,623452.9388880824,,2.787295443340554e-06,,328.81027251669013,,8.289451216114685e-05,,12.193452293222599,,,,15.50060026212172,,,,,,,,,,,,15.554427201097662,,14.934492327950215,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.25,cnnninw4d8,128,2,0,128,2,0,1,0,32,0,3,default,128,2,0,0,best,1,0.7686,,-1.3834341237609944,,0.9996,,-0.0011652320020755398,,1472896.8779149519,,5.571143901761388e-06,,1913.2176431342043,,0.0030593702103942637,,12.230175343426792,,,,15.54946289279244,,,,,,,,,,,,15.5590613972057,,15.549310955134304,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.25,cnnninw4d8,128,2,0,128,2,0,1,0,128,0,3,default,128,2,0,0,best,1,0.7762,,-1.3567552553532052,,0.9998,,-0.000598441404555248,,1082128.3184681279,,4.663068011723226e-06,,1115.1509987441164,,0.001502865576185286,,12.230899366465481,,,,15.550887790593235,,,,,,,,,,,,15.557681213725695,,15.550187132575296,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.25,cnnninw4d8,128,2,0,128,2,0,1,0,512,0,3,default,128,2,0,0,best,1,0.7763,,-1.4103411469335227,,0.9999333333333332,,-0.00016561100938833958,,971217.6597885692,,3.468439217613195e-06,,474.5451440590242,,0.0004658363468479365,,12.231425577943973,,,,15.55034653706984,,,,,,,,,,,,15.557103070345793,,15.548930493268099,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.25,cnnninw8d2,128,2,0,128,2,0,1,0,32,0,3,default,128,2,0,0,best,1,0.7805,,-1.629425880812051,,1.0,,-5.336618297097098e-06,,705944.657462196,,6.308808906396736e-07,,326.2960695442101,,5.1295450248289847e-05,,12.171385429122234,,,,15.466329249468716,,,,,,,,,,,,15.558873360807246,,15.240482221950185,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.25,cnnninw8d2,128,2,0,128,2,0,1,0,128,0,3,default,128,2,0,0,best,1,0.7874,,-1.5337572594589566,,1.0,,-1.2774888874566967e-05,,638751.8286734087,,5.319617457644199e-07,,227.84164765523002,,9.129169484367594e-05,,12.178112160075795,,,,15.488715713674374,,,,,,,,,,,,15.55643117427826,,14.854581919583408,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.25,cnnninw8d2,128,2,0,128,2,0,1,0,512,0,3,default,128,2,0,0,best,1,0.7792,,-1.5437386891156804,,1.0,,-1.9585967764329048e-05,,470926.4873221677,,4.0294924019690365e-07,,101.05872654519995,,9.672299347585069e-05,,12.159566803412005,,,,15.455389369617805,,,,,,,,,,,,15.555008682337673,,14.386276310140437,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.25,cnnninw8d4,128,2,0,128,2,0,1,0,32,0,3,default,128,2,0,0,best,1,0.7806,,-1.6024167176160875,,1.0,,-8.403238859716566e-06,,580714.8858842618,,5.827220093124197e-07,,342.0297638729706,,8.660042658448219e-05,,12.164745450019836,,,,15.463404276154256,,,,,,,,,,,,15.559038855812766,,15.246669173240662,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.25,cnnninw8d4,128,2,0,128,2,0,1,0,128,0,3,default,128,2,0,0,best,1,0.7828,,-1.5285652709770865,,1.0,,-7.796055749315972e-06,,594459.141314879,,4.970517011315678e-07,,223.58662855535442,,8.693355630384758e-05,,12.177013223821467,,,,15.490610892122442,,,,,,,,,,,,15.556643139232287,,14.745590827681804,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.25,cnnninw8d4,128,2,0,128,2,0,1,0,512,0,3,default,128,2,0,0,best,1,0.779,,-1.5022651967251903,,1.0,,-5.578416136718071e-06,,456474.364544585,,4.0487316255166656e-07,,103.33133713629664,,7.523062231484799e-05,,12.1525259884921,,,,15.460346655412154,,,,,,,,,,,,15.555010156197982,,14.395176367326215,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.25,cnnninw8d8,128,2,0,128,2,0,1,0,32,0,3,default,128,2,0,0,best,1,0.7731,,-1.6473875903187107,,1.0,,-3.4696200918454498e-06,,554618.7107438017,,7.226121283565591e-07,,65.12064374825772,,4.955965050612576e-05,,12.229731982404536,,,,15.549173680218784,,,,,,,,,,,,15.5590970732949,,15.5490882396698,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.25,cnnninw8d8,128,2,0,128,2,0,1,0,128,0,3,default,128,2,0,0,best,1,0.7786,,-1.4802877605742075,,1.0,,-6.143327070387903e-06,,705944.657462196,,6.66116989123111e-07,,40.37803841605143,,9.431874786969274e-05,,12.230654651468448,,,,15.549933563579213,,,,,,,,,,,,15.55745273286646,,15.549725760113109,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.25,cnnninw8d8,128,2,0,128,2,0,1,0,512,0,3,default,128,2,0,0,best,1,0.7833,,-1.4380492896280452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.5,cnnninw2d2,128,2,0,128,2,0,1,0,32,0,3,default,128,2,0,0,best,1,0.6622,,-0.9869361236257472,,0.7550666666666667,,-0.6450524235886199,,1558264.7785941043,,7.677273970330134e-05,,797.3765186535153,,0.9035438299179076,,12.137224067341194,,,,15.41910644011064,,,,,,,,,,,,15.557438601147046,,14.657679839567704,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.5,cnnninw2d2,128,2,0,128,2,0,1,0,128,0,3,default,128,2,0,0,best,1,0.69,,-0.9235968130698908,,0.7909999999999999,,-0.5485814210721965,,2350106.92985876,,7.728377386229113e-05,,585.6511333550034,,0.780137836933136,,12.19788139516657,,,,15.503125559199939,,,,,,,,,,,,15.556958231058989,,14.722968621687455,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.5,cnnninw2d2,128,2,0,128,2,0,1,0,512,0,3,default,128,2,0,0,best,1,0.6985,,-0.929751603954744,,0.8128,,-0.5072367374159279,,1321935.1480455524,,6.253062747418879e-05,,350.92631883345535,,0.7189528942108154,,12.188356388698926,,,,15.491216540336607,,,,,,,,,,,,15.5529348525134,,14.39976516636935,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.5,cnnninw2d4,128,2,0,128,2,0,1,0,32,0,3,default,128,2,0,0,best,1,0.6834,,-0.9723114368803599,,0.7514666666666666,,-0.6868614775026123,,1065154.0197160395,,3.707432915689424e-05,,414.0451552971004,,0.9942039847373962,,12.223087321628224,,,,15.54167448390614,,,,,,,,,,,,15.558843590996482,,15.534688808701254,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.5,cnnninw2d4,128,2,0,128,2,0,1,0,128,0,3,default,128,2,0,0,best,1,0.7164,,-0.8622126039634257,,0.8057333333333333,,-0.5353833401250743,,753469.9874566905,,3.342453055665828e-05,,315.9421426464029,,0.8046808242797852,,12.226200732317837,,,,15.543171871792186,,,,,,,,,,,,15.556529673663054,,15.52840771458366,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.5,cnnninw2d4,128,2,0,128,2,0,1,0,512,0,3,default,128,2,0,0,best,1,0.7376,,-0.8077113017135191,,0.8400888888888889,,-0.437229888923136,,876523.9379591837,,2.5247301891795363e-05,,196.36889312592254,,0.6908839344978333,,12.227302952246232,,,,15.546337604522705,,,,,,,,,,,,15.557017521424727,,15.524408492175017,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.5,cnnninw2d8,128,2,0,128,2,0,1,0,32,0,3,default,128,2,0,0,best,1,0.4289,,-1.508996281472384,,0.4481555555555555,,-1.3951174794222772,,4469268.77835588,,2.3246355340234007e-05,,527.2643134614743,,2.0700979232788086,,12.234403946182944,,,,15.554854739796033,,,,,,,,,,,,15.558699510314248,,15.55466954274611,
correlationAllBob2,cifar10,b128,False,False,decay,adam,0.0001,last,0,erm,0.5,cnnninw2d8,128,2,0,128,2,0,1,0,128,0,3,default,128,2,0,0,best,1,0.4482,,-1.4632469293791683,,0.4786,,-1.3578508477085325,,889181.1595673101,,1.5767673176014796e-05,,703.7888310779023,,1.996802568435669,,12.233964768323032,,,,15.554115685549649,,,,,,,,,,,,15.557303439487109,,15.554215778004039,
