data,encoder,beta,run,test_I_xz_toagg,train_I_xz_toagg,train_DIQ_yz_toagg,test_DIQ_yz_toagg,train_H_zCx_toagg,test_H_zCx_toagg,train_H_Q_yCz_toagg,test_H_Q_yCz_toagg,train_acc_toagg,test_acc_toagg,train_loglike_toagg,test_loglike_toagg,train_z_norm_toagg,test_z_norm_toagg,train_z_mean_norm_toagg,test_z_mean_norm_toagg,train_z_std_toagg,test_z_std_toagg
cifar10,resnet18,1.0,1,17.13413734436035,19.383919715881348,3.3209087306802925,1.9580627202987668,2077.5148370916195,2072.566259765625,0.0010192810176787052,1.3638652801513669,1.0,0.8582,-0.000706301393405087,-0.9455915325509756,1.0009377978064795,0.9911677956581116,0.11476049877025865,0.10472480356693267,0.9877323372797532,0.9846079230308532
cifar10,resnet18,1.0,4,17.675980758666988,19.36032182520086,3.3207471912557427,1.782771921157837,2078.1652388139205,2073.0826171875,0.0011808305650695481,1.5391561031341552,1.0,0.8535,-0.0008185916655090643,-1.0677867768233078,1.001867798241702,0.9928084135055542,0.11882412738420745,0.11005139946937563,0.9880401221188632,0.98486807346344
cifar10,resnet18,1.0,3,17.68135757446289,19.40183587507768,3.320733352140947,1.7918909788131714,2072.6902965198865,2067.4251953125,0.0011946973099838942,1.5300370454788208,1.0,0.8538,-0.0008279509585967192,-1.0603186655754653,0.9944616149772296,0.9850125074386596,0.118843232027509,0.10979660749435424,0.9843953549861908,0.9810942649841308
cifar10,resnet18,1.0,2,17.5687744140625,19.14444888721813,3.320733167908408,1.8764689445495608,2083.273515181108,2077.443994140625,0.0011948575847782195,1.4454591035842896,1.0,0.8604,-0.0008283906587166201,-1.0017818956717377,1.0084447914903814,0.998476994037628,0.11757992241870273,0.10902263671159744,0.9914766902273352,0.9878159284591674
cifar10,resnet18,10.0,4,9.164381790161134,8.805309339003129,3.314076662063598,1.6776557922363282,2087.673417524858,2078.247216796875,0.007851367773996159,1.644272232055664,1.0,0.8567,-0.0054422585917858575,-1.1407230871193983,1.0004467151381753,0.9882816433906556,0.044099670580842285,0.043363735824823384,0.9953340237790888,0.9892783761024476
cifar10,resnet18,10.0,0,11.179996490478516,11.173866705460982,3.311418359929865,1.84144823551178,2086.0839399857955,2078.108740234375,0.010509658096866176,1.4804797887802124,1.0,0.8555,-0.00728463609489783,-1.0251655620470141,1.0014863718639722,0.9908497810363771,0.07086419754407622,0.06791679561138153,0.9937332353808664,0.9886477947235108
cifar10,resnet18,10.0,1,11.253026008605957,11.258930899880149,3.311560695821589,2.02068943977356,2087.2099054509945,2079.12509765625,0.01036732927472754,1.3012385845184329,1.0,0.8622,-0.00718603783133184,-0.9006224961136959,1.0030587857419797,0.9921263098716736,0.0673492665995251,0.06452839523553848,0.9944243024696005,0.9892694354057312
cifar10,resnet18,10.0,3,7.639841747283937,7.135425025766546,3.31789429621263,1.7054100036621094,2089.45156028054,2078.638671875,0.004033721030943772,1.6165180206298828,1.0,0.8608,-0.002795926435000344,-1.1216344924297128,1.0005198121070862,0.9866020441055298,0.015045009172436868,0.01655023656785488,0.9969878196716307,0.9899931550025941
cifar10,resnet18,10.0,2,7.844155979156494,7.480275760997426,3.316196170720187,1.6749405145645142,2088.75547096946,2080.246728515625,0.005731827452440153,1.646987509727478,1.0,0.8552,-0.0039731385916778016,-1.140991886452997,1.0000815825028853,0.9891232252120972,0.02628475944088264,0.02713520564138889,0.996374030004848,0.9908775568008424
cifar10,mlp,0.001,3,8339.853125,9592.986328125,3.321486863222989,-2.5357173919677733,-1679.230918190696,-1741.668310546875,0.00044114501691762024,5.857645416259767,1.0,0.5314,-0.0003058104026046763,-4.0605347117358725,8.874561179767955,7.094378280639647,2.0221655693921177,1.778053879737854,0.5068023855035956,0.44152231216430665
