experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,clf_nhid,clf_nlay,clf_kpru,gamma,epochs,run_count,train_loss_mean,train_loss_std,valid_loss_mean,valid_loss_std,valid_acc_mean,valid_acc_std,train_acc_mean,train_acc_std
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,25,3,-0.3165847761544314,0.0019031667490611607,3.0711574822743732,0.05564489537980925,0.51,0.008155979401641441,0.9971481481481481,0.0002632497132432465
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,26,3,-0.3255688620422825,0.0011150394065535343,3.150432631429036,0.0361222528156942,0.507,0.010923369443537084,0.997162962962963,5.5924699520566934e-05
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,27,3,-0.33371765825820693,0.0012559835455758334,3.2156955778757728,0.06694578730536233,0.5061333333333334,0.009679531669111528,0.9968962962962964,6.789001029563864e-05
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,28,3,-0.3414048785845439,0.001118411278347877,3.2871912872314457,0.0409686066606585,0.5046,0.00766028720088219,0.9968296296296296,0.0002447809132126579
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,29,3,-0.3494987445354462,0.0008355934207723975,3.3365574328104657,0.03142816667776695,0.503,0.007868926229162415,0.9963407407407407,0.00019415322106785537
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,30,3,-0.35643818007382483,0.001910509324348223,3.4112615982055665,0.040193571430791844,0.5006,0.010148891565092242,0.9964666666666666,0.00073467890021406
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,31,3,-0.36387952776966676,0.0012603549245161806,3.4636435072580976,0.06453302904727676,0.5011333333333333,0.009944512724781081,0.9963481481481482,0.0003445041764217378
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,32,3,-0.37007858127247206,0.0005964302347394024,3.5035832778930662,0.06093651103128825,0.5006666666666667,0.009383673765286883,0.9962148148148148,0.0003799501808364695
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,33,3,-0.37788096663157145,0.0006513216650578493,3.5694555791219074,0.06329148606767306,0.5004666666666666,0.009658847412260627,0.9962296296296297,0.0005557036839559226
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,34,3,-0.3833931254358003,0.0009390977086539887,3.6156706548055015,0.03166882162424423,0.5008,0.007031358332498781,0.9961111111111111,5.879447357924686e-05
QminimalityReindexing,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,1,default,128,1,0,-0.1,35,3,-0.3902235535939534,0.0008703845614493171,3.6609150452931716,0.05227538785669969,0.4972666666666667,0.011349596174901258,0.9960444444444444,0.00028371434077344816
