data,lr,encoder,run,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg,train_sharp_mag_toagg,train_path_norm_toagg,train_y_pred_ent_toagg,train_d_H_Q_xCz_toagg,train_H_Q_xCz_toagg,train_d_H_Qm_xCz_toagg,train_d_H_Qp_xCz_toagg
cifar10,1e-05,resnet18,1,0.5024,-4.165690307460078,1.0,-5.144080467387212e-06,11897416.332409972,15593.343708133929,9.494624828221275e-05,12.136613564057784,15.46554620699449,15.540056217800489,14.839166901328348
cifar10,1e-05,resnet18,0,0.4942,-4.281680032561479,1.0,-6.173161650843895e-06,12216795.864177778,14834.876743674009,0.00011175301915500313,12.132602789185267,15.467306917363947,15.5355520140041,14.751636353406038
cifar10,1e-05,resnet18,4,0.4892,-4.222904893642012,1.0,-5.095868654968664e-06,8578942.82150994,14899.64026411376,9.414085798198356e-05,12.154920447956432,15.439232002605092,15.534965493462302,14.880981347777627
cifar10,1e-05,resnet18,2,0.4962,-4.08896815659066,1.0,-4.709933729286479e-06,9624239.59049053,13870.645839325578,8.760461059864609e-05,12.127088579264553,15.462845314632762,15.538407033140011,14.770390835675327
cifar10,1e-05,resnet18,3,0.4852,-4.206190400401241,1.0,-5.367453343860815e-06,10604448.398750048,14239.940449313684,9.752051846589893e-05,12.119996157559482,15.426665501161056,15.52800644527782,14.719279571013017
cifar10,1e-05,mlp,3,0.5044,-2.0204508949041857,0.9934444444444444,-0.10983067743498463,795033.0503031146,30.586050247237917,0.4823186695575714,11.303067619150335,14.704942193898287,15.503620852123609,1.0304904739287766
cifar10,1e-05,mlp,2,0.4972,-2.146501093371758,0.9946222222222222,-0.09887942373982783,773833.1239133372,30.873445170554238,0.4475403130054474,11.48990628936074,14.807066213000903,15.51201623136347,2.159176329320127
cifar10,1e-05,mlp,4,0.4931,-2.019795955555141,0.9896666666666668,-0.13016659217141707,679556.551718682,28.970574544753603,0.5372650027275085,11.472145654938435,14.805209105665035,15.502302104776554,1.554555284706029
cifar10,1e-05,mlp,0,0.4905,-2.094223250425571,0.9931555555555556,-0.1071437839269882,784325.6566837108,30.79242936266457,0.4711900949478149,11.310663981871171,14.698342713442715,15.50347719409249,0.9263616973026232
cifar10,1e-05,mlp,1,0.4932,-2.1029454482334833,0.9935111111111112,-0.10413666333994084,679556.551718682,30.145341898601746,0.4664033055305481,11.489793289791455,14.861987352371216,15.509456580335446,1.7248269827528433
svhn,1e-05,resnet18,3,0.7749308543331285,-1.641324288774,0.9999848326280504,-2.7147481244116456e-05,4772185.8844444435,13014.750400987336,0.00012792057532351464,13.158799563267436,15.995712405951448,16.056912400001703,15.052961038988691
svhn,1e-05,resnet18,2,0.7918715427166564,-1.5231694500704511,0.9999848326280504,-2.644785454320752e-05,5577426.891973054,11741.348474515184,0.00011669767991406843,13.188400933908857,16.013435740803562,16.057685970335967,15.170168322186136
svhn,1e-05,resnet18,0,0.7743546404425322,-1.656312737312811,0.9999848326280504,-2.8192110197504327e-05,6736543.15616116,14088.090857174368,0.00012820874690078202,13.191081379735193,16.003322564354242,16.05561846356059,15.184443887814071
svhn,1e-05,resnet18,1,0.7814612784265519,-1.6173796436434915,0.9999848326280504,-2.607458275086061e-05,5577426.891973054,15180.26455632444,0.00011397440539440141,13.169727643330894,16.02068819740946,16.055532529372574,15.368523996929788
svhn,1e-05,resnet18,4,0.7694760295021512,-1.7149894922848592,0.9999848326280504,-2.6887074269613448e-05,5478274.6122448975,13431.77903332243,0.00013179314555600286,13.147816598877425,15.99457864243855,16.056735874146455,15.317696246065836
svhn,1e-05,mlp,4,0.7980562384757222,-1.0113698977217425,0.9942515660311538,-0.06245937759098715,1299044.9288468808,28.29785532019443,0.2447684705257416,13.002311233402224,15.691042434337527,16.038079594456867,4.465261220932007
svhn,1e-05,mlp,0,0.7921020282728949,-1.0595544979203897,0.995540792646858,-0.055874043958522135,1193046.4711111109,30.253217037420693,0.23133498430252075,13.024728760238766,15.652753238530122,16.038645300754286,3.6298252177792927
svhn,1e-05,mlp,1,0.7929087277197295,-1.0596547384881725,0.9952374452078688,-0.05616435407042725,1213181.9210507732,29.561839316084512,0.2297976464033127,12.989988770595815,15.723868074343185,16.04488473345143,4.470291738362277
svhn,1e-05,mlp,3,0.7965580823601721,-1.0252145317029822,0.9937510427568216,-0.06211168815364833,1065154.0197160395,29.93818909045143,0.24561072885990146,13.00568755837374,15.662788095400314,16.040603046269382,3.146615284357884
svhn,1e-05,mlp,2,0.7960202827289491,-1.0753341504406375,0.9959654790614432,-0.05082034262637935,1193046.4711111109,30.06555134917182,0.21356415748596191,12.869393267372782,15.667577004247857,16.03498443337374,3.2891311747159144
svhn,0.001,resnet18,4,0.9522126613398894,-0.7958305530533359,0.9999848326280504,-2.1066887468140186e-05,29743.540831024933,40.22682423079546,3.0870938644511625e-05,13.204554661299829,16.00175612102183,16.069003570911494,15.553395870120024
svhn,0.001,resnet18,0,0.9506376767055932,-0.7168705992863911,0.9999848326280504,-4.1602263797696367e-05,23014.013717421123,40.47885069410476,6.202757504070178e-05,13.198478181232776,16.01089291979176,16.069183201752892,15.28828783552776
svhn,0.001,resnet18,1,0.9541333743085432,-0.6710548518245156,0.9999848326280504,-4.177044254178464e-05,24347.88716553288,40.87248534887193,6.230654253158718e-05,13.168111571969913,16.02539582215538,16.068957646687824,15.411175417345625
svhn,0.001,resnet18,3,0.9520590043023972,-0.7519918748411686,0.9999848326280504,-3.2146335435166826e-05,23890.660021359923,44.23832522762714,5.3253770602168515e-05,13.129902721375457,15.934119054513385,16.06845290901125,15.12472986620526
svhn,0.001,resnet18,2,0.9482559926244624,-0.7714808249682521,0.9999848326280504,-2.107171326395059e-05,20655.23668821176,42.7930370335489,3.092411134275608e-05,13.206590260646141,16.028906881347186,16.068479833676832,15.359353789987493
svhn,0.001,mlp,2,0.8387753534111863,-3.0858906318081667,0.9999848326280504,-2.1414654182292364e-05,7928.741020793951,301.7507896634241,3.289902815595269e-05,13.013915291128232,15.818722414415937,16.04687465993009,9.702103585235832
svhn,0.001,mlp,3,0.8414643515673018,-3.0609502921991187,0.9999696652561012,-4.360590190111908e-05,8015.63068470244,298.37128192069684,7.059375639073551e-05,12.966555920682213,15.820321112640144,16.049280447553297,9.190211096475293
svhn,0.001,mlp,4,0.8411954517516902,-3.0664760068781383,0.9999848326280504,-2.276131917747753e-05,7281.777777777777,231.99904869147636,3.7509435060201206e-05,12.913497192915097,15.691353701805884,16.047603178393935,9.498806576396145
svhn,0.001,mlp,1,0.8400046097111248,-3.04887443246404,0.9999696652561012,-4.227882431936892e-05,7676.383539706597,295.8400776813378,7.102529343683273e-05,12.955801047095955,15.765424794928972,16.045489266861313,8.979104581729388
svhn,0.001,mlp,0,0.8390442532267978,-2.9900216054296185,0.9999696652561012,-4.245891873154898e-05,16130.969052340603,312.4662231746017,6.87153878971003e-05,13.094660884650178,15.84560937659685,16.045528249223107,9.046459671138793
svhn,1e-06,resnet18,0,0.6827750460971113,-0.9876371305133398,0.8430632024389134,-0.5467694027648282,6002225.23678924,14074.268151488377,1.1386361122131348,13.183319224867711,16.002041861068367,16.056052644123397,14.9961637674376
svhn,1e-06,resnet18,1,0.7099339274738783,-0.9072490657942868,0.8755365457827122,-0.4413919475800066,5287740.59218221,15112.55266326639,0.9359625577926636,13.176716819290045,15.99786693365999,16.057311627291895,15.313844577286597
svhn,1e-06,resnet18,4,0.6928395820528579,-0.9684747822526562,0.8638425020096768,-0.4802180487054163,5478274.6122448975,13023.16029234072,1.0148274898529053,13.16204833984375,15.98854114473328,16.057933556017023,15.289566653643467
svhn,1e-06,resnet18,3,0.6854640442532268,-0.9734772853919282,0.8624016016744779,-0.4886828857675535,3770616.007462277,12984.158347771334,1.035634994506836,13.176015129385068,15.994194171225375,16.054888037748114,14.822256797967956
svhn,1e-06,resnet18,2,0.7198832206515058,-0.8879163064232755,0.8778419863190305,-0.4405448046214176,4398046.511104,11516.068426333704,0.9442263841629028,13.118776942408363,15.992065348366435,16.056883242703222,15.402836821800056
svhn,1e-06,mlp,2,0.702519975414874,-1.0126811579445605,0.7695166158559706,-0.7847807779784042,466033.7777777778,26.103502107296354,1.3944138288497925,12.91475223570831,15.605754290440284,16.035425799761633,5.78045473727145
svhn,1e-06,mlp,3,0.6948371235402582,-1.0316767453621696,0.7629643111738029,-0.7988401171392437,389566.1946485261,25.930770258351487,1.4143471717834473,12.91761875152588,15.625945009926493,16.040369521739873,3.7332562790360564
svhn,1e-06,mlp,1,0.7003687768899816,-1.021927761832622,0.7647692284357891,-0.7898033469211384,480945.91931916797,25.65532218937476,1.4039112329483032,12.892778433570564,15.631037571633511,16.043286922366118,5.459827262301777
svhn,1e-06,mlp,0,0.6980255070682237,-1.0252470218027343,0.7634193323322868,-0.7947400604166113,429496.7296,26.164467235224286,1.4086401462554932,12.9927857938663,15.560710773911588,16.037703159243566,4.008441831714423
svhn,1e-06,mlp,4,0.6969114935464045,-1.0128776662626635,0.7628884743140556,-0.7942623267183442,412818.8481353326,24.554854040160645,1.4220323562622068,12.967826111372124,15.638642732487169,16.03719904995704,4.532811283141143
svhn,0.0001,resnet18,3,0.915642286416718,-0.7884433529610296,0.9999848326280504,-2.1108484433323173e-05,536183.9263443713,1600.717885824982,3.126222873106599e-05,13.20897026209868,16.033765090528387,16.06263420932977,14.795238797978838
svhn,0.0001,resnet18,2,0.9232483097725876,-0.7275040830886126,0.9999848326280504,-2.1093187065097204e-05,442677.45069442654,1269.0590017804532,3.127536183455959e-05,13.201107697893482,16.028146928595017,16.065157380214956,14.902830877969432
svhn,0.0001,resnet18,4,0.9230178242163491,-0.7627214355779205,0.9999848326280504,-2.1106793857385625e-05,421033.9472600725,1379.5796914277914,3.1229756132233895e-05,13.203025211659513,16.029365983120233,16.06629349464594,14.68465141917384
svhn,0.0001,resnet18,0,0.9193300553165334,-0.759987246462678,0.9999848326280504,-2.1090140102343765e-05,587526.73246469,1590.077985508887,3.1224080885294825e-05,13.205133889072625,16.02833971127059,16.058861133664152,14.486623350039933
svhn,0.0001,resnet18,1,0.9194068838352796,-0.7734566742018273,0.9999848326280504,-2.1087318013562607e-05,421033.9472600725,1715.9472602618066,3.114757782896049e-05,13.147001806155656,16.031570767247402,16.065215916596642,14.693073494489804
svhn,0.0001,mlp,1,0.8282114320835894,-2.314527340003402,0.9999848326280504,-4.014016123576433e-05,146881.6831161725,39.82613887750889,9.58123928285204e-05,12.758550643920898,15.514472436535266,16.031678865122238,0.3012636264627294
svhn,0.0001,mlp,0,0.8302089735709896,-2.251599899575344,0.9999848326280504,-4.305274612531604e-05,110669.36267360664,40.11115993544923,0.00012521138705778867,12.600700467131858,15.331768117209736,16.02593917994536,0.15353662913390834
svhn,0.0001,mlp,4,0.8277888752304856,-2.342904983481863,0.9999848326280504,-2.1973216023654048e-05,143505.20551973002,38.39426398351631,4.715763134299778e-05,12.775740616081295,15.528745806494427,16.033533384633618,0.4348481098810832
svhn,0.0001,mlp,2,0.8309388444990781,-2.264383773945473,0.9999848326280504,-2.348815919858831e-05,126859.85633270322,39.90969573269837,6.813033542130141e-05,12.486640567927394,15.325903825981673,16.033080906831017,0.8815842524979466
svhn,0.0001,mlp,3,0.8312461585740627,-2.265936268936928,0.9999696652561012,-4.287394796455881e-05,124146.35495432995,40.180133340176646,0.0001009914994938299,12.51918233827103,15.307662268941714,16.02298497784045,0.10674260680874187
