model,beta,minimax,run,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg
cdibhigher,100.0,5,0,0.3691,-1.7774409388080241,0.3707111111111111,-1.7722208254476388
cdibhigher,100.0,10,0,0.2398,-2.1237497032761574,0.2340888888888889,-2.129011344856686
cdibhigher,100.0,0,2,0.4859,-2.377005962790007,0.8537111111111111,-0.4198312134620864
cdibhigher,10.0,1,1,0.3979,-7.804685340506355,0.9995111111111112,-0.004953216445504658
cdibhigher,10.0,1,2,0.4115,-6.997971345587766,0.9989111111111112,-0.00822935378258142
cdibhigher,10.0,1,0,0.4143,-7.1642977688979945,0.9988888888888888,-0.007365139545639017
cdibhigher,10.0,0,2,0.445,-6.0181526002866175,0.9980888888888888,-0.011922842008284626
cdibhigher,10.0,0,0,0.44,-6.172501460084678,0.9985777777777778,-0.012034027445523841
cdibhigher,10.0,5,1,0.516,-1.371342663430242,0.6125111111111111,-1.1020791931720548
cdibhigher,10.0,5,2,0.5185,-1.4101732949558274,0.6667333333333333,-0.9474259396041128
cdibhigher,10.0,5,0,0.5297,-1.4448611861292364,0.7355111111111111,-0.7666590777877579
cdibhigher,10.0,10,2,0.4273,-1.6720691022351384,0.4422888888888889,-1.6478488517617187
cdibhigher,10.0,10,0,0.4567,-1.5645373035695405,0.4718444444444445,-1.521188117468564
cdibhigher,1000.0,0,0,0.4467,-1.5583093100312166,0.4696444444444444,-1.48930816011374
cdibhigher,1000.0,10,2,0.2063,-2.163789463067055,0.2036,-2.1658132398949728
cdibhigher,1000.0,10,0,0.2011,-2.1547835015118117,0.20044444444444445,-2.1584803025841715
cdibhigher,1000.0,5,2,0.2533,-2.0956973631680014,0.24584444444444445,-2.098321237477992
cdibhigher,1000.0,5,0,0.2303,-2.1086463143229484,0.22346666666666667,-2.1130131164100434
cdibhigher,1000.0,1,2,0.4081,-6.278038695370812,0.9948888888888888,-0.02501146131878557
cdibhigher,1000.0,1,0,0.4195,-6.027774946440045,0.9943111111111111,-0.026303234662259808
cdib,0.001,1,0,0.3909,-8.481046757907901,0.9997555555555556,-0.003766194913246514
cdib,0.001,1,2,0.3956,-8.294325842546032,0.9998666666666668,-0.002673176006475158
cdib,0.001,1,1,0.3866,-8.334883415856625,0.9993333333333332,-0.005311715213780674
cdib,0.001,0,0,0.3936,-8.150514670344396,0.9997777777777778,-0.003906089148772237
cdib,0.001,0,1,0.3979,-8.150563055555995,0.9998,-0.003569624400956175
cdib,0.001,0,2,0.4029,-8.028434869573244,0.9997111111111112,-0.003485273191539659
cdib,0.001,5,0,0.3911,-8.398070869039106,0.9996888888888888,-0.003913312553247009
cdib,0.001,5,2,0.3928,-8.26892149415249,0.9998222222222222,-0.002671766151025677
cdib,0.001,5,1,0.3899,-8.280049344065551,0.9993555555555556,-0.004989703138809966
cdib,0.001,10,0,0.3911,-8.395106578553692,0.9996222222222222,-0.0044645158812231045
cdib,0.001,10,1,0.3894,-8.299594131317043,0.9994888888888888,-0.004650001948656937
cdib,0.001,10,2,0.3939,-8.319040308568301,0.9997333333333334,-0.003045155482219072
cdib,1000.0,5,0,0.4078,-6.155621963145082,0.9978444444444444,-0.0188110716858642
cdib,1000.0,5,1,0.408,-6.188429203212329,0.9980888888888888,-0.01950288969405972
cdib,1000.0,5,2,0.4082,-6.434877795932352,0.9989111111111112,-0.014472607567038394
cdib,1000.0,1,0,0.3792,-7.580633361585876,0.9994222222222222,-0.008239365908595983
cdib,1000.0,1,1,0.3752,-7.818850048420229,0.9994222222222222,-0.006843633202945136
cdib,1000.0,1,2,0.3735,-7.337030862341809,0.9993333333333332,-0.00982876977866308
cdib,1000.0,0,0,0.4467,-1.5583093100312166,0.4696444444444444,-1.48930816011374
cdib,1000.0,0,1,0.4483,-1.541581228737347,0.4782444444444445,-1.473736624935911
cdib,1000.0,0,2,0.4457,-1.55754625290446,0.4648,-1.507181236440316
cdib,1000.0,10,0,0.3911,-7.65353308336598,0.9996,-0.005462065026951402
cdib,1000.0,10,1,0.4022,-7.011512319387765,0.9994444444444444,-0.009912588106205348
cdib,1000.0,10,2,0.3969,-6.9680965551832985,0.9993333333333332,-0.010121389799972869
cdib,1.0,10,0,0.4073,-7.902213454588446,0.9994888888888888,-0.004240062037238501
cdib,1.0,10,1,0.4086,-7.90834728590533,0.9995555555555556,-0.00418925429237306
cdib,1.0,10,2,0.4015,-7.9389180687458305,0.9998222222222222,-0.003522101607053897
cdib,1.0,5,0,0.4031,-7.8989582058922005,0.9996444444444444,-0.004494495717402633
cdib,1.0,5,1,0.4038,-7.907282619827684,0.9994666666666666,-0.004529226152118639
cdib,1.0,5,2,0.4118,-7.825635190430057,0.9996888888888888,-0.003423817519765592
cdib,1.0,1,0,0.3896,-8.417134861845778,0.9997555555555556,-0.003991285983772624
cdib,1.0,1,1,0.3856,-8.355028752166247,0.9994,-0.0046773944037019795
cdib,1.0,1,2,0.395,-8.263307452881259,0.9998,-0.0029108104072142877
cdib,1.0,0,0,0.4045,-7.7062867835787054,0.9996222222222222,-0.00674152630580828
cdib,1.0,0,1,0.4033,-7.914832761962653,0.9998444444444444,-0.0053250711157853715
cdib,1.0,0,2,0.3943,-7.9824288881522385,0.9997111111111112,-0.0059388642147395285
cdib,10.0,5,0,0.415,-7.660985351475191,0.9997555555555556,-0.0043466766721602405
cdib,10.0,5,1,0.3932,-8.016712276918561,0.9992888888888888,-0.005437879343452828
cdib,10.0,5,2,0.4047,-7.737270856685852,0.9997111111111112,-0.004379574333834722
cdib,10.0,1,0,0.3887,-8.35546906832867,0.9995333333333334,-0.004060256278326734
cdib,10.0,1,1,0.3889,-8.348474187633988,0.9994888888888888,-0.004490676972645622
cdib,10.0,1,2,0.368,-8.765235747391902,0.9997555555555556,-0.0032054780162697532
cdib,10.0,0,0,0.44,-6.172501460084678,0.9985777777777778,-0.012034027445523841
cdib,10.0,0,1,0.4404,-6.292377930366124,0.9982888888888888,-0.014253144131881562
cdib,10.0,0,2,0.445,-6.0181526002866175,0.9980888888888888,-0.011922842008284626
cdib,10.0,10,0,0.40399999999999997,-7.856734804701742,0.9996444444444444,-0.00417005887901781
cdib,10.0,10,1,0.4059,-7.820228516296681,0.9994444444444444,-0.004937508326141054
cdib,10.0,10,2,0.4014,-7.9544213725871575,0.9997333333333334,-0.0036271058293973228
cdib,0.01,0,0,0.3844,-8.310520005725818,0.9997555555555556,-0.0036787087498351273
cdib,0.01,0,1,0.3815,-8.385858573825699,0.9998444444444444,-0.0033651506167299804
cdib,0.01,0,2,0.3966,-8.072670487661021,0.9998666666666668,-0.0026196529528911107
cdib,0.01,1,0,0.387,-8.489561167617941,0.9997111111111112,-0.0041194917947214756
cdib,0.01,1,2,0.3949,-8.222525216257987,0.9997555555555556,-0.0033386551683028186
cdib,0.01,1,1,0.3626,-8.828079936176545,0.9996,-0.0047236223269185714
cdib,0.01,5,0,0.3917,-8.296260603663537,0.9995111111111112,-0.00404147396062886
cdib,0.01,5,1,0.3961,-8.23977550732471,0.9992444444444444,-0.004601913293930455
cdib,0.01,5,2,0.39399999999999996,-8.178385605525389,0.9998444444444444,-0.003021568569353217
cdib,0.01,10,0,0.3884,-8.356257665346252,0.9994888888888888,-0.004319496043172984
cdib,0.01,10,1,0.3911,-8.275074655259083,0.9994,-0.00471483608131203
cdib,0.01,10,2,0.3998,-8.128259191626654,0.9998888888888888,-0.002751070845064443
cdib,0.1,10,0,0.3991,-8.050446454772844,0.9996444444444444,-0.004649070803513898
cdib,0.1,10,1,0.3991,-8.106659081226274,0.9995555555555556,-0.0044396415651977075
cdib,0.1,10,2,0.3954,-8.159496816951293,0.9998666666666668,-0.002812468105360905
cdib,0.1,5,1,0.4008,-8.029320154187701,0.9993333333333332,-0.004156309150510757
cdib,0.1,5,0,0.3987,-8.152935876245289,0.9995777777777778,-0.004232936970405696
cdib,0.1,5,2,0.4033,-7.98453036372429,0.9999111111111112,-0.00304346060939971
cdib,0.1,1,1,0.3883,-8.369926644420888,0.9994666666666666,-0.004792559065205309
cdib,0.1,1,0,0.3987,-8.36618894448699,0.9997333333333334,-0.0038449180571579673
cdib,0.1,1,2,0.397,-8.18506412908681,0.9997555555555556,-0.003052413783452029
cdib,0.1,0,0,0.3938,-8.165528685124855,0.9998666666666668,-0.003826250548815556
cdib,0.1,0,1,0.3962,-8.203283073994308,0.9997777777777778,-0.003264652699393921
cdib,0.1,0,2,0.3847,-8.29708095739306,0.9998888888888888,-0.0035571714835121882
cdib,100.0,1,0,0.3836,-7.925100540906823,0.9995555555555556,-0.005845417898200742
cdib,100.0,1,1,0.3743,-8.049614994280457,0.9993111111111111,-0.005684163780996157
cdib,100.0,1,2,0.3784,-8.016212990805009,0.9996666666666668,-0.004749243145773164
cdib,100.0,5,0,0.3998,-7.507235354673161,0.9993111111111111,-0.00620919936618565
cdib,100.0,5,1,0.39,-7.7896049577945545,0.9994888888888888,-0.005562582846584751
cdib,100.0,5,2,0.4004,-7.5725597682093175,0.9995555555555556,-0.004966468330302145
cdib,100.0,10,0,0.3933,-7.722557663995468,0.9995777777777778,-0.005318440847276738
cdib,100.0,10,1,0.3902,-7.810067645917737,0.9994222222222222,-0.006034810841604172
cdib,100.0,10,2,0.3917,-7.545745525712293,0.9995555555555556,-0.0054402045916435975
cdib,100.0,0,0,0.4774,-2.59731891537083,0.8735777777777778,-0.37342430067670696
cdib,100.0,0,1,0.4905,-2.2519755534912522,0.8386888888888889,-0.4711257153857265
cdib,100.0,0,2,0.4859,-2.377005962790007,0.8537111111111111,-0.4198312134620864
