model,beta,minimax,run,epochs,train_loss_toagg,valid_loss_toagg,valid_acc_toagg,train_acc_toagg
cdibhigher,0.01,0,1,23,-0.5852980887543071,4.8295732055664065,0.459,0.9979777777777777
cdibhigher,0.01,0,1,24,-0.6002702451879328,4.927668957519531,0.4586,0.9980666666666667
cdibhigher,0.01,0,1,25,-0.613572205621546,4.96561958694458,0.4578,0.9980888888888889
cdibhigher,0.01,0,1,26,-0.6262358443433588,5.038886919403076,0.4572,0.9981333333333333
cdibhigher,0.01,0,1,27,-0.6384703995878046,5.090544484710693,0.4578,0.9976444444444444
cdibhigher,0.01,0,1,28,-0.6500980846058239,5.157720865631103,0.4556,0.9981555555555556
cdibhigher,0.01,0,1,29,-0.6618358870332891,5.213969522857666,0.455,0.9978666666666667
cdibhigher,0.01,0,1,30,-0.6705557971867648,5.251448410797119,0.4532,0.9981111111111111
cdibhigher,0.01,0,1,31,-0.6834273529572921,5.308104516601563,0.4556,0.9982444444444445
cdibhigher,0.01,0,1,32,-0.6925349186116999,5.352167144012451,0.452,0.9980444444444444
cdibhigher,0.01,0,1,33,-0.7022917313575745,5.414411246490478,0.4514,0.9976222222222222
cdibhigher,0.01,0,1,34,-0.7110871817848899,5.43828674621582,0.4504,0.9979555555555556
cdibhigher,0.01,0,1,35,-0.7182145996960727,5.494410562896729,0.45,0.9979111111111111
cdibhigher,0.01,0,1,36,-0.7269753215009516,5.5047623123168945,0.4486,0.9976666666666667
cdibhigher,0.01,0,1,37,-0.7350018151716753,5.567398862457275,0.4486,0.9980888888888889
cdibhigher,0.01,0,1,38,-0.7436708704601634,5.595147430419922,0.4484,0.9980222222222223
cdibhigher,0.01,0,1,39,-0.751145651175759,5.637078483581543,0.4476,0.9978222222222223
cdibhigher,0.01,0,1,40,-0.7582667899912053,5.637344594573975,0.4474,0.9978444444444444
cdibhigher,0.01,0,1,41,-0.7656280112179843,5.692528506469727,0.448,0.9977555555555555
cdibhigher,0.01,0,1,42,-0.7716240953965621,5.723355003356934,0.4468,0.9982
cdibhigher,0.01,0,1,43,-0.7795136784813621,5.75491669845581,0.4472,0.9978888888888889
cdibhigher,0.01,0,1,44,-0.7837888106866316,5.758341381072998,0.4486,0.9980666666666667
cdibhigher,0.01,0,1,45,-0.7896923340710726,5.803119312286377,0.4466,0.9978222222222223
cdibhigher,0.01,0,1,46,-0.7978403625401583,5.822172610473633,0.4486,0.9977777777777778
cdibhigher,0.01,0,1,47,-0.8015115984309803,5.848810144042969,0.4466,0.9978888888888889
cdibhigher,0.01,0,1,48,-0.8082781587687405,5.87664725189209,0.4462,0.9979777777777777
cdibhigher,0.01,0,1,49,-0.8118974008733576,5.889547540283203,0.4464,0.9978222222222223
cdibhigher,0.01,0,1,50,-0.8184667034322565,5.910760048675537,0.4466,0.9980888888888889
cdibhigher,0.01,0,1,51,-0.8212163473129273,5.927167997741699,0.4444,0.9980888888888889
cdibhigher,0.01,0,1,52,-0.82805084251924,5.919272298431396,0.4472,0.9980666666666667
cdibhigher,0.01,0,1,53,-0.8319863512906162,5.942512867736816,0.4446,0.998
cdibhigher,0.01,0,1,54,-0.8361625454295766,5.97366541519165,0.4444,0.9975777777777778
cdibhigher,0.01,0,1,55,-0.8408278460329229,5.9842239852905275,0.4446,0.9981555555555556
cdibhigher,0.01,0,1,56,-0.8433122592059049,6.00369176864624,0.4438,0.9982222222222222
cdibhigher,0.01,0,1,57,-0.8499890588413586,6.025761679077148,0.4442,0.9982444444444445
cdibhigher,0.01,0,1,58,-0.8511199396480214,6.050463482666015,0.4432,0.9980222222222223
cdibhigher,0.01,0,1,59,-0.8558780541333285,6.05420369720459,0.4458,0.9984444444444445
cdibhigher,0.01,0,1,60,-0.860904853630066,6.080086688232422,0.4432,0.9983111111111111
cdibhigher,0.01,0,1,61,-0.8624737297491594,6.093156043243408,0.4434,0.9977555555555555
cdibhigher,0.01,0,1,62,-0.8668811902306297,6.095171672058106,0.4426,0.9981333333333333
cdibhigher,0.01,0,1,63,-0.8702130274685946,6.1134032531738285,0.4442,0.9978222222222223
cdibhigher,0.01,0,1,64,-0.8739736533945257,6.124583413696289,0.4422,0.998
cdibhigher,0.01,0,1,65,-0.8772027309677818,6.119331441497803,0.443,0.9981777777777778
cdibhigher,0.01,0,1,66,-0.8789724751819263,6.114209576416016,0.4446,0.9978
cdibhigher,0.01,0,1,67,-0.8833071635332974,6.146214218902588,0.4418,0.9978888888888889
cdibhigher,0.01,0,1,68,-0.8861659366347573,6.169038383483887,0.4418,0.9983111111111111
cdibhigher,0.01,0,1,69,-0.8901504717219959,6.176511714935303,0.4436,0.998
cdibhigher,0.01,0,1,70,-0.8912149326324463,6.185694931030273,0.4426,0.9980444444444444
cdibhigher,0.01,0,1,71,-0.8936577425696633,6.186152436065674,0.4438,0.9978666666666667
cdibhigher,0.01,0,1,72,-0.895372494134036,6.1958799713134765,0.4428,0.9979111111111111
cdibhigher,0.01,0,1,73,-0.8990212363156406,6.207507032775879,0.4414,0.9982222222222222
cdibhigher,0.01,0,1,74,-0.8995463502363725,6.217258302307129,0.4414,0.9980666666666667
cdibhigher,0.01,0,1,75,-0.9029183391571045,6.235402516174316,0.4396,0.9980666666666667
cdibhigher,0.01,0,1,76,-0.9049014524633234,6.23400390625,0.4428,0.9979777777777777
cdibhigher,0.01,0,1,77,-0.9075152934334495,6.257347380065918,0.4418,0.9979111111111111
cdibhigher,0.01,0,1,78,-0.9083566487052224,6.255252889251709,0.4398,0.9981111111111111
cdibhigher,0.01,0,1,79,-0.913229029083252,6.258554975128174,0.4418,0.9978888888888889
cdibhigher,0.01,0,1,80,-0.9138652887257662,6.260583309936523,0.44,0.9980666666666667
cdibhigher,0.01,0,1,81,-0.9159758621562611,6.263657192230225,0.4426,0.998
cdibhigher,0.01,0,1,82,-0.9176873943415556,6.254552907562256,0.4414,0.9982
cdibhigher,0.01,0,1,83,-0.9201326758384705,6.2953735481262205,0.4392,0.9984222222222222
cdibhigher,0.01,0,1,84,-0.9206117672833529,6.293286949157715,0.4396,0.9981111111111111
cdibhigher,0.01,0,1,85,-0.9244268078197132,6.2817955078125,0.4408,0.9985333333333334
cdibhigher,0.01,0,1,86,-0.92716190032092,6.318676723480225,0.4392,0.9979777777777777
cdibhigher,0.01,0,1,87,-0.9287422605687922,6.32543169708252,0.4396,0.9981111111111111
cdibhigher,0.01,0,1,88,-0.9282676147114147,6.342625171661377,0.44,0.9981333333333333
cdibhigher,0.01,0,1,89,-0.9287715061534535,6.305922680664063,0.441,0.9980444444444444
cdibhigher,0.01,0,1,90,-0.9331706079916521,6.315346513366699,0.4402,0.998
cdibhigher,0.01,0,1,91,-0.9348765328754078,6.336783282470703,0.4382,0.9981555555555556
cdibhigher,0.01,0,1,92,-0.9347635623585094,6.335684394073486,0.4408,0.9983111111111111
cdibhigher,0.01,0,1,93,-0.9381769753022627,6.357611701965332,0.4398,0.9982666666666666
cdibhigher,0.01,0,1,94,-0.9398943053679033,6.364742851257324,0.4388,0.9984
cdibhigher,0.01,0,1,95,-0.939768479642001,6.345770861816407,0.4394,0.9981555555555556
cdibhigher,0.01,0,1,96,-0.9406198039575057,6.337815634155273,0.441,0.9986666666666667
cdibhigher,0.01,0,1,97,-0.9402242744965986,6.35348086013794,0.4388,0.9982444444444445
cdibhigher,0.01,0,1,98,-0.9425816326661544,6.355031737518311,0.44,0.9982666666666666
cdibhigher,0.01,0,1,99,-0.9436687774484808,6.362019876098633,0.439,0.9983777777777778
cdibhigher,0.01,0,1,100,-0.9458021503795278,6.359358278656006,0.4402,0.9981777777777778
cdibhigher,0.01,0,1,101,-0.9470505314046687,6.3838924797058105,0.4378,0.9983333333333333
cdibhigher,0.01,0,1,102,-0.9486988626480103,6.403461496734619,0.441,0.9982666666666666
cdibhigher,0.01,0,1,103,-0.9478234399188649,6.404451593780518,0.4406,0.9979777777777777
cdibhigher,0.01,0,1,104,-0.9507413209915161,6.392068134307861,0.4388,0.9986
cdibhigher,0.01,0,1,105,-0.9520289721142162,6.420683214569092,0.438,0.9983333333333333
cdibhigher,0.01,0,1,106,-0.953135891012712,6.384192366790772,0.4402,0.9983333333333333
cdibhigher,0.01,0,1,107,-0.9539116027051753,6.415646752166748,0.4396,0.9983333333333333
cdibhigher,0.01,0,1,108,-0.9542656774434176,6.4172731948852535,0.44,0.9981777777777778
cdibhigher,0.01,0,1,109,-0.9552227842504328,6.426925086975098,0.439,0.9983111111111111
cdibhigher,0.01,0,1,110,-0.9571322097171436,6.416801290130615,0.4384,0.9982888888888889
cdibhigher,0.01,0,1,111,-0.9583341892936013,6.411498021697998,0.4398,0.9982
cdibhigher,0.01,0,1,112,-0.9582789232947609,6.403629467010498,0.4388,0.9980444444444444
cdibhigher,0.01,0,1,113,-0.9602644442298196,6.415782029724121,0.4384,0.9982222222222222
cdibhigher,0.01,0,1,114,-0.9619170939878984,6.435056826019287,0.4376,0.9984444444444445
cdibhigher,0.01,0,1,115,-0.9616561902132901,6.416004471588135,0.4406,0.9986
cdibhigher,0.01,0,1,116,-0.9622622552698309,6.44714150314331,0.438,0.9983555555555556
cdibhigher,0.01,0,1,117,-0.962254604027488,6.438413009643555,0.4384,0.9981777777777778
cdibhigher,0.01,0,1,118,-0.9638422694639727,6.442777133178711,0.4398,0.9982444444444445
cdibhigher,0.01,0,1,119,-0.9637884849028154,6.445704080963135,0.439,0.9982222222222222
cdibhigher,0.01,0,1,120,-0.9667907314300537,6.446647092437744,0.4382,0.9982222222222222
cdibhigher,0.01,0,1,121,-0.9656433290828358,6.455851969146728,0.436,0.9980222222222223
cdibhigher,0.01,0,1,122,-0.9663280667911877,6.438785165405274,0.4392,0.9980666666666667
cdibhigher,0.01,0,1,123,-0.9675886250235818,6.446673787689209,0.4382,0.9981333333333333
cdibhigher,0.01,0,1,124,-0.9681371804497458,6.44666153717041,0.4378,0.9981555555555556
cdibhigher,0.01,0,1,125,-0.9676808662414551,6.453664478302002,0.4386,0.9984444444444445
cdibhigher,0.01,0,1,126,-0.9683949676080184,6.457642932891845,0.4374,0.9987777777777778
cdibhigher,0.01,0,1,127,-0.9695064518321644,6.458179273986817,0.4388,0.9982666666666666
cdibhigher,0.01,0,1,128,-0.9668568519072099,6.465302308654785,0.4382,0.9980666666666667
cdibhigher,0.01,0,1,129,-0.9717348702170632,6.455527103424072,0.4384,0.9982
cdibhigher,0.01,0,1,130,-0.9732720969460227,6.473267488098145,0.4384,0.9982888888888889
cdibhigher,0.01,0,1,131,-0.9699486434416338,6.4784699768066405,0.4376,0.9983111111111111
cdibhigher,0.01,0,1,132,-0.9720998565760526,6.463312852478027,0.4386,0.9982666666666666
cdibhigher,0.01,0,1,133,-0.9750659077731045,6.468639812469482,0.4378,0.9983777777777778
cdibhigher,0.01,0,1,134,-0.9722257860877297,6.487194876098632,0.4378,0.9984666666666666
cdibhigher,0.01,0,1,135,-0.9742489713668824,6.476737902832031,0.437,0.9983777777777778
cdibhigher,0.01,0,1,136,-0.9764644381263039,6.476310961151123,0.4376,0.9983111111111111
cdibhigher,0.01,0,1,137,-0.9754223136901855,6.4761060623168945,0.4384,0.9982222222222222
cdibhigher,0.01,0,1,138,-0.9755532601096414,6.472262132263183,0.4388,0.9983111111111111
cdibhigher,0.01,0,1,139,-0.9781742909344759,6.49000352935791,0.4368,0.9987333333333334
cdibhigher,0.01,0,1,140,-0.9782534019123424,6.482322294616699,0.4372,0.9984666666666666
cdibhigher,0.01,0,1,141,-0.9756986587004228,6.512697611999512,0.4374,0.9982
cdibhigher,0.01,0,1,142,-0.9782848014831543,6.491767012023926,0.4386,0.9982888888888889
cdibhigher,0.01,0,1,143,-0.9760921394781633,6.488506516265869,0.4376,0.9983555555555556
cdibhigher,0.01,0,1,144,-0.9792910466801037,6.486398027038574,0.438,0.9984444444444445
cdibhigher,0.01,0,1,145,-0.9787615542758595,6.511187846374511,0.4368,0.9984444444444445
cdibhigher,0.01,0,1,146,-0.9784398253787647,6.497825323486328,0.438,0.9980222222222223
cdibhigher,0.01,0,1,147,-0.9800379353870045,6.473813832092286,0.4382,0.9981777777777778
cdibhigher,0.01,0,1,148,-0.9783472782395103,6.490140404510498,0.4378,0.9983111111111111
cdibhigher,0.01,0,1,149,-0.978545116259835,6.484417375946045,0.4394,0.9984222222222222
cdibhigher,0.01,0,1,150,-0.9818278466484763,6.49698147277832,0.4358,0.9985111111111111
cdibhigher,0.01,0,1,151,-0.9829695980418812,6.5121368019104,0.4362,0.9983777777777778
cdibhigher,0.01,0,1,152,-0.9822063984090632,6.50846915359497,0.4364,0.9983333333333333
cdibhigher,0.01,0,1,153,-0.9813603118983182,6.512679399871826,0.4368,0.9985111111111111
cdibhigher,0.01,0,1,154,-0.9812831175197254,6.48176296081543,0.4378,0.9983333333333333
cdibhigher,0.01,0,1,155,-0.981939245258678,6.478343141174316,0.439,0.9985777777777778
cdibhigher,0.01,0,1,156,-0.982671204367551,6.499198468780517,0.4386,0.9986666666666667
cdibhigher,0.01,0,1,157,-0.9839997195503929,6.513355046844483,0.4366,0.9984444444444445
cdibhigher,0.01,0,1,158,-0.9815244559201327,6.513014477539063,0.4364,0.9982222222222222
cdibhigher,0.01,0,1,159,-0.9850053144454956,6.498314283752442,0.4368,0.9984
cdibhigher,0.01,0,1,160,-0.9853056485349482,6.513095593261719,0.4376,0.9980888888888889
cdibhigher,0.01,0,1,161,-0.9845091914697127,6.516460639953613,0.4374,0.9987111111111111
cdibhigher,0.01,0,1,162,-0.9837911235289141,6.5042122413635255,0.436,0.9982666666666666
cdibhigher,0.01,0,1,163,-0.9846664579824967,6.500281900787353,0.4374,0.9982222222222222
cdibhigher,0.01,0,1,164,-0.982843855155598,6.514490598297119,0.4384,0.9979555555555556
cdibhigher,0.01,0,1,165,-0.9849775863994251,6.501290660095215,0.4364,0.9983111111111111
cdibhigher,0.01,0,1,166,-0.9841295244043523,6.514283391571045,0.4368,0.9983111111111111
cdibhigher,0.01,0,1,167,-0.9847308158180931,6.532556432342529,0.4382,0.9982
cdibhigher,0.01,0,1,168,-0.9862589001915671,6.493348175048828,0.438,0.9984888888888889
cdibhigher,0.01,0,1,169,-0.9867862631190907,6.509034327697754,0.4368,0.9981333333333333
cdibhigher,0.01,0,1,170,-0.9856859817504883,6.4985248023986815,0.4386,0.9979111111111111
cdibhigher,0.01,0,1,171,-0.9871831685499711,6.515818507385254,0.4388,0.9983777777777778
cdibhigher,0.01,0,1,172,-0.9862575923226097,6.514598603820801,0.4376,0.9983111111111111
cdibhigher,0.01,0,1,173,-0.9893862741123546,6.524589338684082,0.4378,0.9983777777777778
cdibhigher,0.01,0,1,174,-0.9879768658377908,6.5147365234375,0.4374,0.9985777777777778
cdibhigher,0.01,0,1,175,-0.9870081231550737,6.52693376159668,0.4372,0.9981111111111111
cdibhigher,0.01,0,1,176,-0.9859792156046087,6.518365219116211,0.4382,0.9982666666666666
cdibhigher,0.01,0,1,177,-0.9856325400785967,6.514491026306152,0.4378,0.9984888888888889
cdibhigher,0.01,0,1,178,-0.9876409449317238,6.531822244262695,0.437,0.9985555555555555
cdibhigher,0.01,0,1,179,-0.9885652024182406,6.519016169738769,0.438,0.9984
cdibhigher,0.01,0,1,180,-0.9890903363921426,6.53043203048706,0.4368,0.9984888888888889
cdibhigher,0.01,0,1,181,-0.9874722219987349,6.532415032958984,0.4362,0.9982666666666666
cdibhigher,0.01,0,1,182,-0.9901051211097024,6.523768182373047,0.4368,0.9981333333333333
cdibhigher,0.01,0,1,183,-0.9885867266048085,6.518287718963623,0.4376,0.9983555555555556
cdibhigher,0.01,0,1,184,-0.9894954778671264,6.528437009429932,0.4378,0.9982888888888889
cdibhigher,0.01,0,1,185,-0.9899564817255193,6.517118190765381,0.4364,0.9982888888888889
cdibhigher,0.01,0,1,186,-0.9905836816614324,6.523778503417969,0.438,0.9987333333333334
cdibhigher,0.01,0,1,187,-0.9890591105547818,6.502660251617431,0.4388,0.9982444444444445
cdibhigher,0.01,0,1,188,-0.9870958849386735,6.529682247161865,0.4362,0.9981333333333333
cdibhigher,0.01,0,1,189,-0.9909353320555253,6.541842262268067,0.4366,0.9983111111111111
cdibhigher,0.01,0,1,190,-0.9888648159633984,6.516534552764893,0.4382,0.9983111111111111
cdibhigher,0.01,0,1,191,-0.9909298790324818,6.5071661804199215,0.4374,0.9984222222222222
cdibhigher,0.01,0,1,192,-0.9912105641191656,6.5332202697753905,0.438,0.9984666666666666
cdibhigher,0.01,0,1,193,-0.9917534574335272,6.529770539855957,0.435,0.9982888888888889
cdibhigher,0.01,0,1,194,-0.9893171290137551,6.545014212036133,0.437,0.9983555555555556
cdibhigher,0.01,0,1,195,-0.990721416646784,6.491312675476074,0.438,0.9982444444444445
cdibhigher,0.01,0,1,196,-0.9901863844004545,6.535068173980713,0.4362,0.9981777777777778
cdibhigher,0.01,0,1,197,-0.9896972540682012,6.549268733215332,0.4354,0.9980444444444444
cdibhigher,0.01,0,1,198,-0.9923003648237748,6.509049891662598,0.4384,0.9982222222222222
cdibhigher,0.01,0,1,199,-0.9905867498137734,6.532692475128174,0.4382,0.9984666666666666
cdibhigher,0.01,0,2,0,1.0180142710208893,1.7697552619934083,0.4396,0.5086444444444445
cdibhigher,0.01,0,2,1,0.1673443245664239,1.8281757211685181,0.4794,0.9005555555555556
cdibhigher,0.01,0,2,2,-0.03292044513659044,1.9710132789611816,0.4914,0.9664222222222222
cdibhigher,0.01,0,2,3,-0.11931969086473639,2.1163017948150635,0.4962,0.9843111111111111
cdibhigher,0.01,0,2,4,-0.17049370240731673,2.2850673290252685,0.4984,0.9923333333333333
cdibhigher,0.01,0,2,5,-0.2079757620746439,2.443131545639038,0.4978,0.995
cdibhigher,0.01,0,2,6,-0.23859431741020895,2.5953380317687986,0.4976,0.9970444444444444
cdibhigher,0.01,0,2,7,-0.2652838872020895,2.7405310035705566,0.4978,0.9978222222222223
cdibhigher,0.01,0,2,8,-0.2897209746945988,2.8925379703521727,0.493,0.9984444444444445
cdibhigher,0.01,0,2,9,-0.3136999239358035,3.063417812728882,0.4922,0.9988444444444444
cdibhigher,0.01,0,2,10,-0.33688942991603504,3.212265526199341,0.4922,0.9988
cdibhigher,0.01,0,2,11,-0.358617061216181,3.3497563762664795,0.493,0.9988444444444444
cdibhigher,0.01,0,2,12,-0.38007153214974837,3.5151759902954103,0.4862,0.9991111111111111
cdibhigher,0.01,0,2,13,-0.4020305332357233,3.637947380447388,0.4858,0.9989333333333333
cdibhigher,0.01,0,2,14,-0.42235033192201094,3.8060837913513184,0.4844,0.9984888888888889
cdibhigher,0.01,0,2,15,-0.442449510084499,3.906616521835327,0.4848,0.9987111111111111
cdibhigher,0.01,0,2,16,-0.46195148600665004,4.046354970550537,0.4806,0.9982
cdibhigher,0.01,0,2,17,-0.48133105594461617,4.150546304321289,0.4796,0.9984444444444445
cdibhigher,0.01,0,2,18,-0.4984244392828508,4.264365747070313,0.477,0.9981555555555556
cdibhigher,0.01,0,2,19,-0.5169359023094178,4.358014890289307,0.4768,0.9982444444444445
cdibhigher,0.01,0,2,20,-0.5337531260663813,4.446983618927002,0.4778,0.9983111111111111
cdibhigher,0.01,0,2,21,-0.5482764731667259,4.537349133300781,0.4756,0.998
cdibhigher,0.01,0,2,22,-0.5629390061291781,4.60477960357666,0.4742,0.9978888888888889
cdibhigher,0.01,0,2,23,-0.5774440239646218,4.69059146270752,0.473,0.998
cdibhigher,0.01,0,2,24,-0.5910123029015281,4.784470268249512,0.4696,0.9980444444444444
cdibhigher,0.01,0,2,25,-0.6038650630517439,4.814483992767334,0.473,0.9978
cdibhigher,0.01,0,2,26,-0.6171823642904108,4.923295863342285,0.4704,0.9978
cdibhigher,0.01,0,2,27,-0.6296298794746399,4.964672814178467,0.4688,0.9976666666666667
cdibhigher,0.01,0,2,28,-0.641356905633753,4.981254280090332,0.4734,0.9976444444444444
cdibhigher,0.01,0,2,29,-0.6515249510244889,5.055757362365723,0.4692,0.9978
cdibhigher,0.01,0,2,30,-0.6636991718465631,5.100340207672119,0.4662,0.9980222222222223
cdibhigher,0.01,0,2,31,-0.6727052774776112,5.143749625396729,0.4658,0.9978666666666667
cdibhigher,0.01,0,2,32,-0.6812117611191489,5.180461119842529,0.4668,0.9975333333333334
cdibhigher,0.01,0,2,33,-0.692432507870414,5.239082019805908,0.464,0.9976888888888888
cdibhigher,0.01,0,2,34,-0.7012886109265414,5.253165124511718,0.4672,0.9976444444444444
cdibhigher,0.01,0,2,35,-0.7091453515746377,5.3271967170715335,0.4634,0.9977555555555555
cdibhigher,0.01,0,2,36,-0.7198920375823975,5.340577132415771,0.4646,0.9975111111111111
cdibhigher,0.01,0,2,37,-0.7263432673194191,5.380057580566406,0.463,0.9976222222222222
cdibhigher,0.01,0,2,38,-0.7335012555642562,5.391083184051514,0.4648,0.9979333333333333
cdibhigher,0.01,0,2,39,-0.7413127821835604,5.441808466339111,0.4622,0.9980888888888889
cdibhigher,0.01,0,2,40,-0.7494425164179368,5.455366223907471,0.464,0.9978888888888889
cdibhigher,0.01,0,2,41,-0.7543000320174478,5.487153289794922,0.4624,0.9974888888888889
cdibhigher,0.01,0,2,42,-0.7619381642775102,5.514688932800293,0.464,0.9973555555555556
cdibhigher,0.01,0,2,43,-0.7686810601494529,5.513582293701172,0.4648,0.9977111111111111
cdibhigher,0.01,0,2,44,-0.773143874575875,5.545393742370606,0.4644,0.9974444444444445
cdibhigher,0.01,0,2,45,-0.7799928460034458,5.585505257415772,0.4606,0.9976222222222222
cdibhigher,0.01,0,2,46,-0.7856610723408786,5.5948564781188965,0.4622,0.9974888888888889
cdibhigher,0.01,0,2,47,-0.7907630479812622,5.6423949577331545,0.4588,0.9975777777777778
cdibhigher,0.01,0,2,48,-0.7958442399285056,5.638548156738281,0.4606,0.9979333333333333
cdibhigher,0.01,0,2,49,-0.800087797685103,5.675875023651123,0.4628,0.9974888888888889
cdibhigher,0.01,0,2,50,-0.8054947461041537,5.656065646362305,0.463,0.9972666666666666
cdibhigher,0.01,0,2,51,-0.8106915893554687,5.7080903900146485,0.4614,0.9977555555555555
cdibhigher,0.01,0,2,52,-0.8157362005927346,5.712411434936524,0.4646,0.9977333333333334
cdibhigher,0.01,0,2,53,-0.8193444231380116,5.745914025115967,0.4602,0.9975333333333334
cdibhigher,0.01,0,2,54,-0.8249867748260498,5.762583200073242,0.4612,0.998
cdibhigher,0.01,0,2,55,-0.8298741952289235,5.812373313140869,0.4574,0.9978888888888889
cdibhigher,0.01,0,2,56,-0.8338989845102484,5.815563395690918,0.4578,0.9978444444444444
cdibhigher,0.01,0,2,57,-0.8377491362918507,5.816554858398438,0.4592,0.9978222222222223
cdibhigher,0.01,0,2,58,-0.8407067770351063,5.816328914642334,0.4602,0.9977555555555555
cdibhigher,0.01,0,2,59,-0.8453693358941512,5.844206161499024,0.4592,0.9977777777777778
cdibhigher,0.01,0,2,60,-0.8488165145700628,5.852654191589355,0.46,0.9980888888888889
cdibhigher,0.01,0,2,61,-0.8532787016348405,5.855177085113525,0.459,0.9979555555555556
cdibhigher,0.01,0,2,62,-0.8563658664183184,5.86934764251709,0.4594,0.9976888888888888
cdibhigher,0.01,0,2,63,-0.8595503008235584,5.87586579208374,0.4596,0.9979333333333333
cdibhigher,0.01,0,2,64,-0.8629298914649269,5.904712532806396,0.4608,0.9977777777777778
cdibhigher,0.01,0,2,65,-0.8661543617421931,5.879670390319824,0.461,0.998
cdibhigher,0.01,0,2,66,-0.8692404393109409,5.941441041564941,0.4564,0.9979111111111111
cdibhigher,0.01,0,2,67,-0.8718402063196355,5.923329069519043,0.4614,0.9978444444444444
cdibhigher,0.01,0,2,68,-0.8738418405186046,5.935456452941895,0.459,0.9982444444444445
cdibhigher,0.01,0,2,69,-0.8766417588320645,5.927996173095703,0.4612,0.9979333333333333
cdibhigher,0.01,0,2,70,-0.8798324488466436,5.990723062133789,0.4582,0.9978444444444444
cdibhigher,0.01,0,2,71,-0.8810490577524358,5.944989832305908,0.4618,0.9978444444444444
cdibhigher,0.01,0,2,72,-0.8830036534309387,5.944051653289795,0.4626,0.9979111111111111
cdibhigher,0.01,0,2,73,-0.8874854169672186,5.97147498626709,0.461,0.9978444444444444
cdibhigher,0.01,0,2,74,-0.8887448374661532,5.993169688415527,0.457,0.9980888888888889
cdibhigher,0.01,0,2,75,-0.893232294030623,6.0013197242736815,0.459,0.9981111111111111
cdibhigher,0.01,0,2,76,-0.8949420496333729,5.993385315704345,0.4608,0.9981111111111111
cdibhigher,0.01,0,2,77,-0.8974030532316728,5.998352109527588,0.4584,0.9980222222222223
cdibhigher,0.01,0,2,78,-0.9018757749644193,6.022760208129883,0.4592,0.9981111111111111
cdibhigher,0.01,0,2,79,-0.9000219723007896,6.064288608551025,0.4586,0.9976666666666667
cdibhigher,0.01,0,2,80,-0.9031540737325495,6.022394634246826,0.4598,0.9980666666666667
cdibhigher,0.01,0,2,81,-0.9056544614965265,6.049958559417725,0.4588,0.9978444444444444
cdibhigher,0.01,0,2,82,-0.9077350032633001,6.032429665374756,0.46,0.9982444444444445
cdibhigher,0.01,0,2,83,-0.9090488149989735,6.046826357269287,0.4588,0.9981111111111111
cdibhigher,0.01,0,2,84,-0.9111245302243666,6.064673394012451,0.4586,0.9980444444444444
cdibhigher,0.01,0,2,85,-0.9108160736690868,6.073533717346192,0.4578,0.9982888888888889
