experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,gamma,clfs,run,clf_nhid,clf_nlay,clf_kpru,epochs,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg,train_sharp_mag_toagg,train_var_grad_toagg,train_path_norm_toagg,train_y_pred_ent_toagg
QminimalityBatch,cifar10,b16,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,best,0.3102,-7.353212344113455,0.9906444444444444,-0.03887419056580474,,,,
QminimalityBatch,cifar10,b16,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,0,128,1,0,best,0.3652,-8.926340452507073,0.9935555555555556,-0.01926131206901788,,,,
QminimalityBatch,cifar10,b16,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,1,128,1,0,best,0.3235,-9.953956988311141,0.9942888888888888,-0.018527003957197315,,,,
QminimalityBatch,cifar10,b16,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,2,128,1,0,best,0.35200000000000004,-9.157891340282069,0.9928444444444444,-0.021529064418925242,,,,
QminimalityBatch,cifar10,b16,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.3616,-8.236239941497884,0.9931777777777778,-0.02133254733840533,,,,
QminimalityBatch,cifar10,b16,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,1,128,1,0,best,0.3549,-8.289676663918081,0.9938,-0.020452421847362026,,,,
QminimalityBatch,cifar10,b16,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,2,128,1,0,best,0.3381,-8.631863379042487,0.9921333333333332,-0.02515795331692053,,,,
QminimalityBatch,cifar10,b16,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.2685,-2.16415675368607,0.4027333333333333,-1.5498104186606076,,,,
QminimalityBatch,cifar10,b16,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,1,128,1,0,best,0.387,-3.9025770857052087,0.8528222222222223,-0.3825597249140231,,,,
QminimalityBatch,cifar10,b16,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,2,128,1,0,best,0.3845,-4.343092120351518,0.9027333333333334,-0.25357914337173737,,,,
