data,model,beta,run_count,test_accuracy_mean,test_accuracy_std,test_loglike_mean,test_loglike_std,train_accuracy_mean,train_accuracy_std,train_loglike_mean,train_loglike_std
cifar10mnist,cdib,1.0,3,0.40053333333333335,0.0012583057392117818,-3.940225360453241,0.08679559952909496,0.9977629629629629,0.0005325611694228341,-0.02120735445519493,0.0015113325979916755
cifar10mnist,cdib,10.0,3,0.4002666666666667,0.004045161719058126,-3.064520395522969,0.10433984804700162,0.9977925925925927,0.0004171232066755829,-0.04372623579970925,0.004108400132870464
cifar10mnist,cdib,100.0,3,0.37279999999999996,0.0009165151389911246,-2.0782085147549885,0.07924855046804735,0.5312592592592593,0.031975317126649375,-1.2280163637960262,0.10214863283735623
cifar10mnist,vib,0.0,2,0.38370000000000004,0.0011313708498984889,-6.330749181352626,0.03658276602497845,0.9968888888888889,0.00018856180831650966,-0.012126216763785197,0.0003630640872178181
cifar10mnist,vib,0.1,3,0.4146,0.0055027265968790534,-4.3033163444172855,0.07254188053572652,0.9999777777777777,2.222222222220127e-05,-0.00995601133438731,0.0005728067875541718
cifar10mnist,vib,1.0,2,0.41290000000000004,0.00664680374315358,-3.468243800878509,0.08036623568060411,1.0,0.0,-0.010868407156170413,0.0004116696950039156
cifar10mnist,vib,10.0,3,0.39230000000000004,0.007250517222929706,-2.9396583942301735,0.0967306011881899,1.0,0.0,-0.029110969451194384,0.0003299381201822943
cifar10mnist,vib,100.0,2,0.28049999999999997,0.003394112549695388,-1.9180449058860543,0.0022314051891837577,0.34005555555555556,0.0024041630560342323,-1.7986094706535338,0.0022675660350653343
mnist,cdib,0.0,3,0.9591,0.0005000000000000143,-0.27964869207332654,0.013992386679263157,0.9996481481481482,1.851851851855657e-05,-0.0030338371869108364,0.0002254612033575247
mnist,cdib,0.1,3,0.9714,0.00040000000000002534,-0.11351624819373385,0.006073929458147176,0.9999444444444444,1.8518518518417793e-05,-0.0024635103437558366,8.296360261968828e-05
mnist,cdib,1.0,3,0.9747,0.0010816653826392084,-0.09132876332240776,0.004258333861947444,0.999962962962963,3.703703703700212e-05,-0.0028344898387244063,8.346389022667258e-05
mnist,cdib,10.0,3,0.9711333333333334,0.0005773502691896262,-0.09861650706015603,0.004011691178251224,0.9997962962962964,3.703703703711314e-05,-0.007957401513587384,0.0005184969094834808
mnist,cdib,100.0,3,0.9543333333333334,0.001501110699893086,-0.15981398020045945,0.005143392874270128,0.981395061728395,0.002413122371396077,-0.07583607540525371,0.008865245564219816
mnist,vib,0.0,3,0.9558333333333332,0.000750555349946543,-0.30659763200476076,0.00421891621151471,0.9996481481481482,9.622504486493504e-05,-0.003416709078393417,0.0002697891367074564
mnist,vib,0.1,2,0.9811,0.0,-0.06604656386235305,0.00147694384924798,1.0,0.0,-0.002096226103555359,4.531509101328376e-05
mnist,vib,1.0,3,0.9832333333333333,0.0013051181300301276,-0.06350965304024069,0.0024057683133419023,1.0,0.0,-0.004811666715692994,7.448335744328366e-05
mnist,vib,10.0,3,0.9833,0.0006000000000000172,-0.08856764467048477,0.0016364018390174254,0.9999876543209877,1.0691671651617607e-05,-0.02338409860664435,0.00024783679464194874
mnist,vib,100.0,3,0.9737,0.0013892443989450512,-0.26036542308328015,0.004026052283049485,0.9889012345679014,0.00038947633467529365,-0.21650808458714557,0.001078865409114039
svhn,cdib,0.0,3,0.727181929932391,0.011277905801656782,-2.787845430108494,0.05706775346395165,0.992835944649204,0.001428822254195292,-0.02235988058863995,0.0035175422088901055
svhn,cdib,0.1,3,0.7524969268592502,0.0022150742537397758,-2.1336114302051956,0.033994143646342824,0.9950756599070746,0.0004176768551430659,-0.017379453117978123,0.0009110520535785263
svhn,cdib,1.0,3,0.7660699651710715,0.003397509061509521,-1.6488948757555022,0.026723270032937358,0.9961424317341868,0.0004247766869665874,-0.01742476041014714,0.0007911078906209186
svhn,cdib,10.0,3,0.7737272075394387,0.0023094393741962945,-1.301029957350569,0.012224410465411659,0.9937510427568216,0.0005516838355092107,-0.034268335477370154,0.0022833451216851914
svhn,cdib,100.0,3,0.5118443966400328,0.1429631258301468,-1.476520803122486,0.3752722652925886,0.5295131779183287,0.1604794225711174,-1.3879534509836022,0.4748971637281722
svhn,vib,0.0,3,0.7028016799836099,0.0051889593284096995,-2.889445779238605,0.04920628082101717,0.9907024009949797,0.0001838946118362342,-0.030053700184483025,0.0008777528472731965
svhn,vib,0.1,3,0.7615370825650482,0.0006174228360603186,-1.534222710412858,0.002148407847954725,0.9989534513354871,6.611304156680415e-05,-0.0134689037759859,8.248291553803875e-05
svhn,vib,1.0,3,0.7918715427166565,0.0013641119318196606,-1.1225304892229162,0.017242448378726315,0.9999342747215523,3.502754511164938e-05,-0.011905978266341011,0.00012263773343568018
svhn,vib,10.0,3,0.7900276582667486,0.0009322880377621474,-0.9016059767077725,0.007541394922826245,0.9994944209350178,6.129820394539385e-05,-0.03885403744310258,0.0006224289300276758
svhn,vib,100.0,3,0.6082129686539645,0.007693504446490002,-1.3075337365949695,0.023637802291550027,0.6656453969554028,0.010187985195065637,-1.1738130994072746,0.022580710126419965
