experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,gamma,clfs,run,,epochs,test_I_xz_toagg,train_I_xz_toagg,train_DIQ_yz_toagg,test_DIQ_yz_toagg,train_DIQ_xz_toagg,train_d_DIQ_xz_toagg,train_H_zCx_toagg,test_H_zCx_toagg,train_H_Q_yCz_toagg,test_H_Q_yCz_toagg,train_DIQ_xzCy_toagg,train_acc_toagg,test_acc_toagg,train_loss_toagg,test_loss_toagg,train_loglike_toagg,test_loglike_toagg,train_H_Q_xCz_toagg,train_d_H_Q_xCz_toagg,train_H_Q_xCzy_toagg,train_h_acc_toagg,train_h_delta_acc_toagg,train_z_norm_toagg,test_z_norm_toagg
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,0,transformer,best,,,1.5029488120760237,-0.15135696029663087,,3.310419934136527,,,1.8189792122159685,3.473284984588623,,0.81,0.1383,,,-1.2788743123412132,-2.4074977342098958,,0.011508664116263391,,,0.9107142857142856,0.9961304324013848,1.0953569425582883
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,2,transformer,best,,,1.513337867600577,-0.19145920333862304,,3.305029937199184,,,1.8085901566914149,3.513387227630615,,0.8,0.1319,,,-1.258748698532581,-2.435294498096406,,0.01689853479287454,,,0.9017857142857144,1.0331650376319883,1.13058824968338
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,1,transformer,best,,,3.319268158503941,-0.9822919631958008,,3.3218552725655686,,,0.002659848475429629,4.304219987487793,,1.0,0.196,,,-0.001807692248330568,-2.983458001407898,,7.334218025789596e-05,,,0.9017857142857144,2.0298096793038503,1.895500966835022
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,0,transformer,best,,,3.3181347846984863,-0.7845101367950441,,3.32184100151062,,,0.003793238628921764,4.106438161087036,,1.0,0.1824,,,-0.002556856962910388,-2.8463660797694934,,8.758974165955027e-05,,,0.9107142857142856,2.041250688689096,1.9401914361953736
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,2,transformer,best,,,3.3183379173278813,-0.6207469741821289,,3.3218516622270857,,,0.0035901433854763,3.942674998474121,,1.0,0.1864,,,-0.0023923921326831988,-2.732854113335628,,7.694482649510196e-05,,,0.9017857142857144,1.941644600459508,1.824169023132324
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,-0.1,default,0,transformer,best,,,3.3186464309692383,-0.8569391307830809,,3.3218311241694862,,,0.0032815617243094107,4.178867155075073,,1.0,0.1848,,,-0.002226404573993932,-2.8965700278850446,,9.741962795877563e-05,,,0.9107142857142856,2.4200900963374545,2.2810505428314207
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,-0.1,default,2,transformer,best,,,3.3186871324266707,-0.6640582416534424,,3.3218521050044467,,,0.003240919439122081,3.9859862659454346,,1.0,0.1872,,,-0.0021479214420401147,-2.7628751851460427,,7.64034380803683e-05,,,0.9017857142857144,2.250804798943656,2.0989331777572637
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.01,0,1024,5,3,-0.1,default,1,transformer,best,,,3.319697073527745,-1.1016118812561035,,3.321862527302333,,,0.0022309573832899328,4.423539905548097,,1.0,0.1956,,,-0.0015100930606786278,-3.0661642652576853,,6.604790022330625e-05,,,0.9017857142857144,2.4599668639046803,2.2803953857421875
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,0,transformer,best,1329.5450921875,533.08400617327,3.2949464661734447,-0.4048530445098877,,,1827.3929443359373,1792.974384375,0.02698154667658465,3.72678106880188,,1.0,0.1738,,,-0.017952454241458325,-2.5832078409157693,,,,,,1.3592122452599662,2.3896072385787965
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,1,transformer,best,1272.4257455078125,523.9194074358259,3.29556781905038,-0.38045653266906737,,,1825.4959542410716,1776.845374609375,0.02636024941291128,3.7023845569610594,,1.0,0.1905,,,-0.01868141990853473,-2.5662974605251105,,,,,,1.3440491642270769,2.290689649581909
