experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,clf_nhid,clf_nlay,clf_kpru,gamma,epochs,run_count,test_accuracy_mean,test_accuracy_std,test_loglike_mean,test_loglike_std,train_accuracy_mean,train_accuracy_std,train_loglike_mean,train_loglike_std,train_sharp_mag_mean,train_sharp_mag_std,train_var_grad_mean,train_var_grad_std,train_path_norm_mean,train_path_norm_std,train_y_pred_ent_mean,train_y_pred_ent_std
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibrand,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,5,default,128,1,0,-0.1,best,3,0.3965666666666667,0.004630694692304106,-4.382351470304234,0.09310329410914833,0.9968370370370371,0.00047105520283221246,-0.024562117631294077,0.00332292669513964,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibrand,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,1,default,128,1,0,-0.1,best,3,0.4836333333333333,0.011610914405563992,-2.634450616981401,0.3570252621553933,0.968288888888889,0.016623469947228808,-0.11118311168460336,0.039130558745006996,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibrand,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,default,128,1,0,-0.1,best,3,0.4591666666666667,0.013376970259865775,-2.718876319078305,0.10712811397206444,0.9898148148148148,0.008984330208780809,-0.04927489697249834,0.023845675138954896,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibrand,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,5,default,128,1,0,-0.1,best,3,0.4725333333333333,0.006664332924857061,-2.5750880039063166,0.39875678648307944,0.9767037037037039,0.03230319583114565,-0.08792989793597865,0.08836052064198238,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibrand,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,1,default,128,1,0,-0.1,best,3,0.5105333333333333,0.010152011294976674,-1.6573765978163502,0.09463424433534717,0.862037037037037,0.020972237184198734,-0.45014036325674733,0.06020571048451605,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibrand,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,default,128,1,0,-0.1,best,3,0.48933333333333334,0.0021221058723196206,-2.2008732912416753,0.018113907253820866,0.996511111111111,0.0011950515253109997,-0.050265924661183396,0.004746915615686752,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibrand,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,5,default,128,1,0,-0.1,best,3,0.47553333333333336,0.008381129597693462,-2.347947526650204,0.10968354513167607,0.9988740740740741,0.0002527218090256062,-0.03241348411202378,0.002469625838794859,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibrand,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,1,default,128,1,0,-0.1,best,3,0.3889666666666667,0.006850060826980529,-1.7543696201036372,0.02832871221969191,0.39157037037037035,0.009007002305705262,-1.744909058454412,0.02971344338112625,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibrand,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,default,128,1,0,-0.1,best,3,0.44383333333333336,0.0033842773723992033,-1.6228682228869449,0.022458515328879894,0.4634740740740741,0.010559679506297555,-1.5724140535629596,0.03542266939284494,,,,,,,,
QminimalityRandom,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibrand,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,5,default,128,1,0,-0.1,best,3,0.46636666666666665,0.005065899064661017,-1.5581793800214925,0.014837806118005153,0.5180814814814815,0.013079667253919385,-1.4488134539886068,0.034158594447073094,,,,,,,,
